requirement_id,source_anchor,requirement,contract_or_algorithm,executable_evidence,gate
M13-05-R01,dossier:4532-4534,Own longitudinal and evolutionary model beneath Variant-peptide channel,GLIO-PROTEOGEN-M13-05 provisional operation and proteotype parent target,tests/contract/test_m13_05_deep.py::test_supported_trajectory_and_replay_are_deterministic,G2
M13-05-R02,dossier:4534-4540,Emit only time-indexed trajectory and change-point object,TrajectoryState and ChangePoint closed output models with emits_parent=false,tests/contract/test_m13_05_deep.py::test_supported_trajectory_and_replay_are_deterministic,G1
M13-05-R03,dossier:4536-4540,Do not own kinase state all-omics fusion treatment recommendation identity or consent,provisional schema exclusion metadata and runtime limitations,tests/contract/test_m13_05_provisional.py::test_provisional_schemas_are_strict_and_temporal,G4
M13-05-R04,dossier:4540-4544,Bind proteome genomic transcript PTM configuration identity provenance consent and quality as typed references,opaque ArtifactReference inputs plus seven-control preflight,tests/contract/test_m13_05_deep.py::test_controls_are_checked_before_execution,G4
M13-05-R05,dossier:4544-4550,Use Bayesian graph state-space mechanistic or foundation-assisted architecture while preserving provisional ABI,locked EvolutionModelConfiguration with model family and deterministic closed grammar,tests/contract/test_m13_05_deep.py::test_supported_objective_families,G1
M13-05-R06,dossier:4550-4554,Validate identity version units completeness assay support parent quality and quarantine unresolved inputs,strict request closure plus accepted seven-control matrix and safe objective support routing,tests/contract/test_m13_05_deep.py::test_contract_rejects_temporal_request_violations,G3
M13-05-R07,dossier:4554-4556,Quantify measurement sampling parameter model-form identification support transport uncertainty and sensitivity,expected_uncertainty and UncertaintyProfile with seven dimensions,tests/contract/test_m13_05_deep.py::test_engine_and_service_error_replay_paths,G3
M13-05-R08,dossier:4556-4558,Require human review for critical discrepancy novel OOD state support override claim promotion release exception or conflict,review-required abstention envelope with human_review_required=true,tests/contract/test_m13_05_deep.py::test_unsupported_objective_abstains_without_negative_finding,G4
M13-05-R09,dossier:4558-4560,Preserve temporal order block future leakage and reproduce locked trajectories,ordered sequence/timestamp contract validators and canonical replay,tests/contract/test_m13_05_deep.py::test_supported_trajectory_and_replay_are_deterministic,G1
M13-05-R10,dossier:4560-4568,Provide locked tests benchmark traceability risk-control manifests reviewer signoff and rollback evidence,evaluator benchmark release evidence and traceability records,tests/evals/test_m13_05.py::test_locked_evaluator_matrix_passes,G0/G1/G3/G4
M13-05-R11,dossier:4570-4575,Meet contract functional robustness uncertainty and safety tests,strict API CLI plugin plus adversarial test matrix and branch coverage verifier,tests/tools/test_m1305_release.py::test_m1305_release_evidence_verifies,G0/G1/G3/G4
