module_id,requirement,evidence,verification,status
GLIO-PROTEOGEN-M22-05,caller-declared M22-04 media binding,contracts/m22_05/v1.py upstream media closure,contract/runtime/adversarial tests,pass
GLIO-PROTEOGEN-M22-05,eight subgroup dimensions and locked configuration,contracts/m22_05/v1.py EvaluationConfiguration,contract/evaluator tests,pass
GLIO-PROTEOGEN-M22-05,finite performance bounds and equity safety floor,contracts/m22_05/v1.py SubgroupPerformance validators,contract/adversarial tests,pass
GLIO-PROTEOGEN-M22-05,calibration and canonical coverage arithmetic,contracts/m22_05/v1.py CalibrationSummary/CoverageSummary,contract/adversarial tests,pass
GLIO-PROTEOGEN-M22-05,deterministic result identity and replay,contracts/m22_05/canonical.py and engine.py,replay/request/result tamper tests,pass
GLIO-PROTEOGEN-M22-05,seven-control fail-closed preflight,modules/.../engine.py,denial and hostile mapping tests,pass
GLIO-PROTEOGEN-M22-05,support/provenance/uncertainty closure,modules/.../engine.py,runtime/evaluator checks,pass
GLIO-PROTEOGEN-M22-05,explicit unsupported abstention,modules/.../engine.py,evaluator/API/CLI abstention tests,pass
GLIO-PROTEOGEN-M22-05,strict parse-once plugin,modules/.../plugin.py,plugin token/parity tests,pass
GLIO-PROTEOGEN-M22-05,FastAPI/Typer interfaces,modules/.../api.py and cli.py,interface/sanitized-error tests,pass
GLIO-PROTEOGEN-M22-05,evaluator and locked benchmark,evals/m22_05,evaluator matrix and ten iterations,pass
GLIO-PROTEOGEN-M22-05,provisional authority and prohibited boundaries,docs/modules/M22-05-subgroup-equity-evaluator.md,owner review and evidence,provisional
