requirement_id,source_anchor,requirement,contract_or_algorithm,executable_evidence,gate
M04-07-R01,dossier:1382-1400,"Authorize all seven controls before prerequisite declaration context envelope or evidence traversal","raw authorization preflight","consent_denied_hostile_evidence",G1
M04-07-R02,dossier:1386-1398,"Preserve full strict M04-04 and M04-06 results solely to rederive and prove their exact compact receipts","public quality harmonization and prerequisite helpers","joint_supported and prerequisite cases",G1
M04-07-R03,dossier:1396-1402,"Require both prerequisite receipts to be releasable content-closed and lineage-consistent","closed prerequisite validator","m0404_unreleasable and m0406_unreleasable",G1
M04-07-R04,dossier:1382-1398,"Evaluate exactly assay specimen disease_class quality completeness platform reference and intended_use with observed completeness","closed eight-dimension declaration and completeness rule","joint_supported and eight dimension cases",G1
M04-07-R05,dossier:1382-1402,"Require one reviewed envelope to admit the complete joint declaration","envelope-local conjunction","joint_supported and cross_envelope_composite",G1
M04-07-R06,dossier:1388-1402,"Route each outside-envelope dimension to an exact typed reason and reviewed remediation","dimension-local assessment projection","outside_assay through outside_intended_use",G1
M04-07-R07,dossier:1384-1398,"Preserve missing and unknown caller evidence as distinct indeterminate states","typed declared-state union","missing_declared_fact and unknown_declared_fact",G1
M04-07-R08,dossier:1382-1398,"Require all declared platform and reference members to be admitted by one envelope","set-subset all-member matching","platform_extra_member and reference_extra_member",G1
M04-07-R09,dossier:1382-1402,"Reject cross-envelope combinations even when every value is supported somewhere","single-envelope coherence invariant","cross_envelope_composite",G1
M04-07-R10,dossier:1388-1402,"Aggregate all failures and remediations in canonical dimension order","deterministic reason aggregation","eight outside-dimension cases and focused replay tests",G1
M04-07-R11,dossier:1388-1402,"Use only the four fixed abstention codes and five reviewed remediation paths","closed enums and assessment validator","all abstained cases",G1
M04-07-R12,dossier:1402-1404,"Produce complete canonical results independent of semantic declaration ordering","canonical set envelope receipt and evidence ordering","canonical_order and semantic_reorder",G1
M04-07-R13,dossier:1386-1404,"Bind request profile policy configuration prerequisites declarations contexts evidence and controls to field-owned digests","canonical digest and provenance closure","joint_supported and forgery tests",G1
M04-07-R14,locked-risk:opaque-identifiers,"Derive every owned graph reviewer evidence and route identifier as exact namespaced 64-hex content","opaque identifier helper and field validators","privacy and canonical-equality evidence",G1
M04-07-R15,dossier:1386-1398,"Preserve exact upstream level identifiers for projected M04-06 platforms","harmonization-receipt platform binding","joint_supported and platform_extra_member",G1
M04-07-R16,dossier:1414-1420,"Enforce exact installed collection integer fixed-point and 4 MiB request ceilings plus every first excess","bounded strict models and ingress reader","capacity and strict-ingress tests",G1
M04-07-R17,dossier:1414-1420,"Reject duplicate keys coercion non-finite values unknown members stale derivations and re-signed contradiction","strict JSON plus recursive semantic replay","strict ingress and forgery tests",G1
M04-07-R18,dossier:1402-1404,"Expose identical library engine service plugin API CLI and all 14 schema surfaces","one public route with adapter parity","interface parity tests",G1
M04-07-R19,dossier:1388,"Emit only support decision typed reasons reviewed remediation and governed metadata","closed result schema and exact limitations","joint_supported and every abstained case",G1
M04-07-R20,dossier:1382-1388,"Preserve protein_rna_discordance only as parent context with all identity consent protein proteoform isoform discordance proteogenomic-state proteotype protein-level-subtype kinase fusion and treatment authority flags false","literal output ceiling","joint_supported and recursive ownership checks",G1
M04-07-R21,dossier:1400-1404,"Recover only through a new immutable result carrying explicit supersession provenance","append-only recovery contract","supersession recovery test",G1
M04-07-R22,dossier:1414-1420,"Execute exactly 19 declared cases in eight groups allocated 1/8/2/2/2/1/2/1","declared-versus-executed corpus oracle","locked executable eval",G1
M04-07-R23,dossier:1402-1404,"Time only public route_proteoform_support after genuine upstream and request construction","request construction outside timed region","representative public-operation benchmark",G1
M04-07-R24,dossier:1398-1420,"Keep support-domain transport assay biological probability activity and clinical qualification outside this evidence package","claims ceiling and exact limitations","evidence inventory and recursive output oracle",G1
