requirement_id,requirement,contract_or_algorithm,executable_evidence,gate
M03-04-R01,"Authorize configuration identity/lineage provenance consent quality support and intended use before request or ledger traversal","seven-control M03-04 authorization preflight","strict_ingress_capacity_and_hostile_authorization denial matrix and hostile-ledger cases",G1
M03-04-R02,"Use genuine self-validating public M01-02 M03-01 M03-02 and M03-03 results without handwritten upstream envelopes","strict embedded-result reconstruction and exact receipt closure","genuine_handoff_and_evidence_graph_closure genuine-chain case",G1
M03-04-R03,"Bind the exact M03-03 result receipt source summaries diagnostics disposition and parent target","raw quality receipt with nested semantic validation","genuine_handoff_and_evidence_graph_closure receipt case",G1
M03-04-R04,"Close complete source and claim projections over every governed upstream artifact metric control and provenance relation","content-addressed aggregate fact ledger and canonical projection-binding digests","genuine_handoff_and_evidence_graph_closure projection and ledger cases",G1
M03-04-R05,"Avoid a digest cycle among upstream receipt projected bindings fact ledger and result","separate payload digests and externally carried bindings","genuine_handoff_and_evidence_graph_closure non-circular-binding case",G1
M03-04-R06,"Compute exactly the eight locked protein-inference quality metric codes","closed metric vocabulary and exact metric-count invariant","canonical eight-metric case and exact_rational_metric_calculations_and_thresholds group",G1
M03-04-R07,"Derive every metric from bounded integer numerator and denominator facts on the 1000000 rate scale","exact rational integer arithmetic with derived values","eight exact-ratio cases",G1
M03-04-R08,"Evaluate at-least and at-most thresholds exactly at below equal above and first-excess boundaries","closed threshold direction and integer comparison","threshold-boundary case",G1
M03-04-R09,"Prevent caller-supplied rates statuses findings or dispositions from overriding derived arithmetic","recursive metric and result validation","derived metric threshold and disposition forgery matrix",G1
M03-04-R10,"Retain shared-peptide protein-group and proteoform ambiguity without double counting or biological resolution","graph-count ownership and ambiguity metric rules","ambiguity_proteoform_censoring_and_zero_denominators ambiguity cases",G1
M03-04-R11,"Represent censored missing not-applicable unsupported and zero-denominator states distinctly","closed observation and metric-status vocabularies","ambiguity_proteoform_censoring_and_zero_denominators state cases",G1
M03-04-R12,"Never convert missing censored unsupported or not-evaluable evidence into zero absence or required-threshold success","missingness fidelity and threshold eligibility checks","censoring zero-denominator and required-threshold cases",G1
M03-04-R13,"Select exactly one assay profile through protocol CV unit search-space control and context coherence","exact approved-profile matching","assay_profile_control_and_reference_coherence selection cases",G1
M03-04-R14,"Abstain for no supported assay profile and reject ambiguous multiple profile matches","closed profile cardinality behavior","unsupported and multiple-profile cases",G1
M03-04-R15,"Bind control-group references expected counts and sample-context declarations without label override","content-digest and governed-version authority","control reference missing control and context-coherence cases",G1
M03-04-R16,"Propagate genuine M03-03 rejected quarantined or abstained outcomes before fact-ledger traversal","typed upstream safe-failure reducer","safe_failure_precedence_and_zero_ledger_traversal disposition cases",G1
M03-04-R17,"Reject receipt-ledger mismatch and abstain for unsupported lineage shape before metric evaluation","binding and supported-shape gates","safe-failure binding and shape cases",G1
M03-04-R18,"Apply deterministic reject quarantine abstain warning and qualify precedence without erasing disagreement","closed finding-action precedence reducer","safe-failure precedence case",G1
M03-04-R19,"Emit no successful graph or metric claim for an upstream safe failure","empty-success-output invariant","safe-failure no-success-claims case",G1
M03-04-R20,"Reject duplicate keys coercion non-finite values unknown fields unknown terms and silent defaults","strict JSON and frozen closed contracts","strict ingress JSON cases",G1
M03-04-R21,"Enforce installed source lineage metric profile finding evidence fact-count upstream-lineage and request-byte ceilings","bounded collections counts and canonical byte cap","strict ingress exact-maximum and first-excess cases",G1
M03-04-R22,"Preserve complete result equality across semantic reordering and typed dictionary and strict-JSON requests","semantic canonical normalization","canonical_privacy_and_resigned_forgery_resistance equality cases",G1
M03-04-R23,"Keep canonical request policy profile threshold receipt ledger finding and result digests stable","field-owned canonical digest functions","canonical digest-stability case",G1
M03-04-R24,"Reject nested and re-signed forgery even when an attacker recomputes outer digests","recursive semantic validation and derived-digest replay","forgery matrix and re-signed nested-forgery case",G1
M03-04-R25,"Expose matching library engine service plugin API and CLI computation behavior","one public operation with adapter parity","interfaces_recovery_evidence_and_benchmark parity cases",G1
M03-04-R26,"Expose POST /v1/modules/M03-04/quality and exact installed schemas through API GET and CLI export","strict compute adapter and read-only schema routes","API CLI compute and schema cases",G1
M03-04-R31,"Replay-verify stored quality results through strict bounded API and CLI paths","duplicate-safe canonical result parsing and full relational result validation","API CLI replay verification case",G1
M03-04-R27,"Emit only typed quality metrics graph bindings findings support uncertainty provenance evidence limitations disposition and review state","closed M03-04 result envelope and parent claims ceiling","canonical result and every typed outcome",G1
M03-04-R28,"Exclude direct identifiers sequences accessions protein/proteoform/activity claims abundance subtype proteotype kinase treatment and clinical decisions","closed schemas and recursive forbidden-key oracle","recursive privacy and ownership canary case",G1
M03-04-R29,"Recover only through a new immutable superseding quality result","append-only recovery contract with superseded result digest in provenance input_digests","interfaces_recovery_evidence_and_benchmark recovery case",G1
M03-04-R30,"Time only public compute_protein_inference_quality after genuine upstream and ledger construction","upstream and fact-ledger construction outside timed region","interfaces_recovery_evidence_and_benchmark timing case",G1
