requirement_id,source_anchor,requirement,contract_or_algorithm,executable_evidence,gate
M23-07-R01,dossier:8220-8224,Own deterministic human-factors and operational evaluation beneath variant peptide,literal operation parent and provisional ABI,authority metadata and module identity tests,G4
M23-07-R02,dossier:8224-8229,Represent reviewer comprehension automation bias throughput latency downtime recovery and fallback,closed seven OperationalDimension values and exact configuration,fixture supported report and dimension-closure tests,G4
M23-07-R03,dossier:8229-8234,Preserve caller-declared upstream without emitting a parent estimate,opaque M23-06 media ArtifactReference and emits_parent false,result envelope and source-retention checks,G4
M23-07-R04,dossier:8234-8238,Expose explicit status target tolerance findings and user-review semantics,typed OperationalMetric FallbackScenario OperationalFinding and SupportDecision,evaluated failed-target and abstention evaluator cases,G4
M23-07-R05,dossier:8238-8242,Require fail-closed controls consent identity provenance quality support and intended use,seven-control preflight with exact accepted states,authorization and hostile-mapping tests,G4
M23-07-R06,dossier:8242-8246,Retain evidence provenance limitations and seven uncertainty dimensions,canonical evidence/provenance envelope and NOT_ESTIMABLE profile,runtime assertions and release evidence,G4
M23-07-R07,dossier:8246-8250,Abstain on unsupported or not-evaluable operational material without negative conversion,ABSTAINED result with no report and review support disposition,not-evaluable evaluator/API/CLI cases,G4
M23-07-R08,dossier:8250-8254,Close dimensions source artifacts result identity and replay,unique IDs validators and canonical digests,contract adversarial and replay-tamper tests,G4
M23-07-R09,dossier:8254-8257,Expose strict schema API CLI and plugin seams,parse-once strict adapters sanitized errors atomic no-overwrite output,interface parity and adversarial suites,G4
M23-07-R10,dossier:8257-8260,Provide deterministic tests benchmark traceability release and rollback evidence,locked ten-check evaluator benchmark verifier package hashes,this evidence inventory and release-evidence/m23_07,G4
M23-07-R11,locked-boundary:M23-06,Consume only declared M23-06 media boundary without invented service ABI,application/vnd.glio-proteogen.m23-06+json ArtifactReference and exact source retention,media-boundary and drift adversarial tests,G4
M23-07-R12,locked-risk:replay,Recompute request/result digest and reject tampered or mismatched replay,canonical request/result projections and deterministic engine replay,replay and result-closure adversarial cases,G4
M23-07-R13,locked-risk:safety,Never emit identity consent treatment kinase all-omics or unsupported negative outputs,literal prohibited outputs descriptor and limitations,descriptor assertions and release evidence,G4
