module_id,authority_sha256,authority_lines,requirement,implementation,evidence,verification
GLIO-PROTEOGEN-M19-07,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6780-6820,Versioned immutable downstream typed export beneath Immunopeptidomic evidence,strict M19-07 contract identity operation parent ceiling and provisional ABI metadata,contract tests,pass
GLIO-PROTEOGEN-M19-07,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6780-6820,Bind only compatible M19-06 upstream output,upstream media type and request context binding,contract/runtime tests,pass
GLIO-PROTEOGEN-M19-07,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6780-6820,Preserve documented fields ownership compatibility and signature,typed fields ownership binding locked configuration and signed envelope,contract adversarial tests,pass
GLIO-PROTEOGEN-M19-07,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6780-6820,Require consent support and seven upstream controls,fail-closed preflight plus provenance control records,runtime/evaluator tests,pass
GLIO-PROTEOGEN-M19-07,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6780-6820,Expose measurement sampling parameter model-form identification support and transport uncertainty,seven-dimension uncertainty profile with sensitivity notes,runtime/evaluator tests,pass
GLIO-PROTEOGEN-M19-07,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6780-6820,Abstain on unsupported missing OOD prohibited or review-gated material,typed abstention with no contract and human review,scenario/evaluator adversarial cases,pass
GLIO-PROTEOGEN-M19-07,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6780-6820,Reject kinase all-omics treatment identity and consent boundaries,explicit prohibited vocabulary and descriptor safety ceiling,negative policy tests,pass
GLIO-PROTEOGEN-M19-07,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6780-6820,Make result identity canonical and replay/tamper verifiable,request/result digests deterministic replay and strict verifier,replay/evaluator tests,pass
GLIO-PROTEOGEN-M19-07,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6780-6820,Provide strict API CLI plugin and release surfaces,FastAPI Typer strict plugin evaluator benchmark wheel sdist,interface/package evidence,pass
GLIO-PROTEOGEN-M19-07,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6780-6820,Bind Scientific engineering S2 G3 metadata,authority metadata repeated in contract schema fixture docs and descriptor,identity assertions,pass
