requirement_id,requirement,contract_or_algorithm,executable_evidence,gate
M03-03-R01,"Authorize configuration identity/lineage provenance consent quality support and intended use before mapping traversal or source I/O","seven-control raw authorization preflight","authorization_strictness_capacity_and_filesystem denial cases",G0
M03-03-R02,"Use genuine self-validating public M01-02 M03-01 and M03-02 results without handwritten upstream envelopes","strict embedded-result reconstruction and exact binding closure","genuine_chain_and_admission_capsule genuine-chain case",G0
M03-03-R03,"Propagate valid upstream quarantine or abstention before source traversal without calling it malformed input","typed upstream safe-failure mapping","m0302_identity_graph_and_manifest_binding safe-failure cases with zero read count",G0
M03-03-R04,"Bind the complete M03-02 graph result and claim set without relabeling or mutation","exact parent receipt and nested self-consistency validation","m0302_identity_graph_and_manifest_binding group",G0
M03-03-R05,"Admit a closed source capsule using exact bytes lengths digests and a non-circular bundle/source-manifest relation","content-addressed source declarations external closed manifest and immutable capsule","genuine_chain_and_admission_capsule canonical and manifest cases",G0
M03-03-R06,"Support spectra/mzML peptide-evidence/mzIdentML group JSON ambiguity JSON bundle JSON FASTA PSI-MOD OBO VCF and GFF3 roles","closed role-to-format vocabulary and strict profile dispatch","role_format_and_cross_reference_parsing valid profile cases",G0
M03-03-R07,"Deliberately omit mzTab and mzTab-M from the v1 accepted profile set","closed format enum with typed unsupported-domain abstention","role_format_and_cross_reference_parsing v1 boundary and unsupported-format case",G0
M03-03-R08,"Detect gzip by magic bytes and bind both transport and decoded integrity","bounded magic-byte decompression with independent length and SHA-256 checks","gzip magic corrupt gzip checksum raw-size and decoded-size cases",G0
M03-03-R09,"Reject malformed structures duplicate JSON keys and dangling internal or cross-source references without repair","strict parsers duplicate-aware JSON loader and reference-closure checks","role_format_and_cross_reference_parsing and authorization_strictness_capacity_and_filesystem strictness cases",G0
M03-03-R10,"Bind canonical decoy conditional-isoform variant and contaminant FASTA components exactly to M03-01","five-role search-space closure over content digests","m0301_search_space_and_ptm_closure FASTA cases",G0
M03-03-R11,"Bind the PSI-MOD ontology digest exactly and prevent labels filenames or versions from overriding content identity","content-digest authority and non-authoritative label handling","m0301_search_space_and_ptm_closure PTM and label-override case",G0
M03-03-R12,"Preserve upstream identifiers components and labels without inference merge replacement or rewrite","immutable parent receipt and output ownership invariant","m0302_identity_graph_and_manifest_binding non-rewrite case",G0
M03-03-R13,"Keep search-space build VCF assembly GFF3 assembly controlled vocabulary and unit context coherent","typed governed-context comparison","build_cv_unit_and_context_coherence exact and mismatch cases",G0
M03-03-R14,"Represent missing and unsupported required context as abstention and never as a negative biological finding","closed context-support states and no-negative-claim invariant","build_cv_unit_and_context_coherence missing and unsupported cases",G0
M03-03-R15,"Apply deterministic failure precedence while retaining safely established disagreement","authorization-to-context precedence reducer with append-only diagnostics","typed_failure_precedence_and_disagreement group",G0
M03-03-R16,"Validate a complete exact-basename mapping under one source directory before I/O","closed source-set and portable-basename contract","authorization_strictness_capacity_and_filesystem source-set case",G0
M03-03-R17,"Reject absolute directory traversal ADS symlink junction and other reparse sources","non-following regular-file admission and path-shape validation","authorization_strictness_capacity_and_filesystem filesystem cases",G0
M03-03-R18,"Read every admitted regular source exactly once","prevalidated mapping and read-once source abstraction","authorization_strictness_capacity_and_filesystem read-counter case",G0
M03-03-R19,"Accept at most 64 source declarations and reject the sixty-fifth before any read","source-set capacity bound evaluated before I/O","maximum-sixty-four and sixty-fifth-source cases",G0
M03-03-R20,"Reject unknown fields unknown controlled terms scalar coercion duplicates excess and stale derived values","strict reconstruction closed vocabularies collection caps and nested validators","strictness cases and canonical_privacy_interfaces_recovery forgery matrix",G0
M03-03-R21,"Preserve complete result equality across semantic reordering typed/dict/strict-JSON requests and bytes/read-once streams","canonical normalization and content-derived result identity","canonical_privacy_interfaces_recovery parity cases",G0
M03-03-R22,"Provide matching library engine service plugin and CLI ingestion behavior","one public operation with adapter parity","canonical_privacy_interfaces_recovery public-interface cases",G0
M03-03-R23,"Expose exact installed contract schemas through API GET and CLI export while providing no raw-ingestion POST route","read-only schema adapter and explicit route exclusion","schema API schema CLI and raw-POST-absent cases",G0
M03-03-R24,"Emit only a typed immutable admission capsule and diagnostics with support uncertainty provenance evidence limitations disposition and review state","closed M03-03 result envelope and claims ceiling","canonical result and every typed safe-failure result",G0
M03-03-R25,"Exclude direct identifiers raw identity tokens peptide sequences protein/activity claims subtype proteotype kinase state treatment and clinical decisions","closed schemas plus recursive forbidden-key/value oracle","canonical_privacy_interfaces_recovery privacy canary case",G0
M03-03-R26,"Reject nested or derived forgery even when an outer digest is recomputed","recursive semantic validation and canonical derived-digest checks","canonical_privacy_interfaces_recovery forgery matrix",G0
M03-03-R27,"Recover only through a new immutable admission capsule with explicit supersession provenance","append-only recovery contract","canonical_privacy_interfaces_recovery supersession case",G0
M03-03-R28,"Time only the public M03-03 operation in the representative benchmark","upstream and source construction outside timed region","canonical_privacy_interfaces_recovery benchmark case",G0
