requirement_id,requirement,contract_or_algorithm,executable_evidence,gate
M01-02-R01,"Represent exactly patient, specimen, aliquot, section, analyte, run, and derived_object kinds","closed node-kind enum","fixture kind matrix and closed-enum property test",G0
M01-02-R02,"Permit only the exact typed ordinary transition table and one distinct producer per material target","closed transition table and producer rule; only computed derived objects admit converging producers","positive transition matrix, every forbidden pair, material-target bypass rejection, duplicate declaration review, and computed diamond acceptance",G0
M01-02-R03,"Never infer identity from a token, label, digest, or concordance","authorized explicit same_as union gate","implicit-merge negative fixtures and policy tests",G0
M01-02-R04,"Quarantine an entire poisoned identity component atomically","canonical sorted disjoint-set union with poison state","poisoned bridge and assertion-order permutations",G0
M01-02-R05,"Detect different_from contradictions, cross-kind assertions, token collisions, and multiple patient anchors","component conflict rules","hostile assertion corpus",G0
M01-02-R06,"Reject cycles and enforce bounded lineage depth without recursion","iterative Kahn traversal and depth propagation","cycle, self-loop, diamond, max-depth, and max-plus-one cases",G0
M01-02-R07,"Quarantine ordinary cross-patient lineage","subject equality or an exact target-bound lineage.cross_patient quarantine issue","cross-patient specimen-to-derived-object fixtures and resolved-output forgery rejection",G0
M01-02-R08,"Keep pooling explicit and multi-patient","policy-gated pooled_from relation; complete-source union and exact mixed-subject state","pool-disabled, pool-enabled, unresolved-source, one-source, mixed-kind, mixed-flag forgery, and multi-patient cases",G0
M01-02-R09,"Recover demultiplexed identity only from complete unique authoritative channels","policy-gated demultiplex relation; every target binding is nonempty and contained by its source or explicitly quarantined","complete, missing, duplicate, unauthorized, ambiguous, unbound-target, and containment-forgery cases",G0
M01-02-R10,"Keep support, counter-evidence, ambiguous, missing, and excluded counts separate","provenance-keyed concordance aggregation","evidence-category matrix and missing-versus-negative property checks",G0
M01-02-R11,"Prevent duplicate evidence from changing confidence","root observation, complete evidence-digest set, unordered endpoints, method/version, assay lineage, panel, reference, target, and evidence-policy deduplication","duplicate-evidence, artifact-alias, endpoint-orientation, distinct-method, and permutation metamorphic tests",G0
M01-02-R12,"Let concordance only downgrade, quarantine, or abstain","identity union independent from concordance evaluator","high-score no-merge and counter-evidence downgrade cases",G0
M01-02-R13,"Make output and digest independent of input order and hash seed","canonical sort and canonical JSON digest","permutation property test and subprocess hash-seed corpus",G0
M01-02-R14,"Reject coercion, duplicate JSON keys, unknown properties, null-for-missing, NaN, and infinity","strict JSON and frozen contracts","negative fixture corpus",G0
M01-02-R15,"Treat Unicode, homoglyph, bidi, and whitespace identifiers at strict boundaries","opaque scoped identifier validation","Unicode and whitespace hostile matrix",G0
M01-02-R16,"Enforce zero, one, maximum, and first-excess boundaries","bounded public collections and 4 MiB byte gate","0/1/N/max/max-plus-one fixture and property matrix",G0
M01-02-R17,"Preserve upstream inputs and emit auditable immutable resolution evidence","frozen models; per-finding evidence count/bounded representatives/complete causal-basis digest; complete request evidence-manifest digest","deep immutability, missing/truncation rejection, privacy canaries, manifest binding, and exact replay",G0
M01-02-R18,"Never expose a union-find representative as patient identity","opaque component/output identifiers","schema and serialized-output policy scan",G0
M01-02-R19,"Emit the dossier evidence envelope including seven uncertainty dimensions and seven authorized controls","typed resolution envelope cross-binding consent, configuration, role-labeled control evidence, input digests, timestamps, module version, and stable request-derived identifiers","schema-field, positive-output, and forged-envelope assertions",G0
M01-02-R20,"Never mutate labels or erase disagreements","append-only assertions, findings, and counter-evidence","conflict/replay/policy tests",G0
M01-02-R21,"Never infer missing identity or consent and never map missing to negative","explicit unresolved states and authorization gates","missingness and consent matrix",G0
M01-02-R22,"Exclude kinase state, generic fusion, treatment recommendation, and upstream mutation","closed output union and forbidden-key policy","recursive schema/output/fixture scans",G0
M01-02-R23,"Keep fixtures non-clinical and outputs privacy-minimized","closed synthetic manifest and privacy allow-list","privacy canaries and lexical/structural scans",G0
M01-02-R24,"Pin external standards only as adapters","versioned adapter manifest","documentation/manifest policy assertions",G0
M01-02-R25,"Meet bounded near-linear graph cost","indexed union-find plus iterative graph passes; no all-pairs or recursion","scaling microbenchmarks and source/resource policy checks",G0
M01-02-R26,"Require governed review for critical, OOD, override, promotion, release, and unresolved conflict","review-required decision policy","review matrix and evidence checkpoint",G0
