requirement_id,source_anchor,requirement,contract_or_algorithm,executable_evidence,gate
M06-01-R01,"dossier:1836-1844","Own the formal state and feature schema beneath the protein abundance model","closed schema, feature, value, invariant, and migration contracts","eight-schema registry and contract hardening tests",G0
M06-01-R02,"dossier:1840","Do not own kinase state, generic all-omics fusion, treatment recommendation, or upstream relabeling","literal output ceiling and provisional metadata","result authority and limitation assertions",G0
M06-01-R03,"dossier:1842-1852","Validate identity version units completeness assay support and parent-specific quality controls","seven-control preflight, units/domains, and parent context","denied-control interface matrix and request validators",G0
M06-01-R04,"dossier:1852-1854","Represent legal missingness without converting unsupported values to negative findings","closed missingness enum and safe abstention precedence","missing-value evaluator and lifecycle tests",G0
M06-01-R05,"dossier:1854","Expose measurement sampling parameter model-form identification support and transport uncertainty","seven not-estimable uncertainty profile","provenance/uncertainty lifecycle assertions",G0
M06-01-R06,"dossier:1854-1856","Expose explicit abstention for non-evaluable expressions and unresolved state","closed comparison grammar and review-required support","unsupported-expression and incompatible-comparison fixtures",G1
M06-01-R07,"dossier:1856-1858","Require human review for critical discrepancy novel/OOD state override promotion exception and conflict","provisional review metadata and non-supported statuses","schema metadata and abstention status checks",G1
M06-01-R08,"dossier:1858","Represent all legal states and reject illegal states with zero silent coercion","strict pydantic schemas and executable invariant results","14 contract/adversarial tests and strict transport tests",G0
M06-01-R09,"dossier:1858","Provide deterministic implementation and safe failure","canonical request/result digest replay and no-I/O engine","typed/JSON equality and tamper rejection",G1
M06-01-R10,"dossier:1860","Provide locked tests, benchmark, traceability, risk controls, manifest, review, and rollback evidence","fixture/eval/docs/benchmark/package evidence bundle","evaluator, benchmark, verifier, and this traceability file",G0
M06-01-R11,"dossier:1862","Bind ownership to Clinical science, S2, G0","module descriptor and schema metadata","descriptor and schema metadata assertions",G0
M06-01-R12,"dossier:1870-1876","Cover contract, functional, robustness, uncertainty, safety, provenance, and recovery test obligations","negative-path suite plus explicit claims ceiling","contract/runtime/interface/lifecycle/evaluator gates",G1
