requirement_id,requirement,contract_or_algorithm,executable_evidence,gate
M03-05-R01,"Authorize configuration identity/lineage provenance consent quality support and intended use before request or ledger traversal","seven-control M03-05 authorization preflight","strict_ingress_capacity_and_hostile_authorization denial matrix and hostile-ledger cases",G1
M03-05-R02,"Use a genuine public M01-02 through M03-04 chain in executable evidence without handwritten upstream result envelopes","strict compact M03-04 receipt projection plus public evidence builder","genuine_handoff_and_artifact_evidence_closure genuine-chain case",G1
M03-05-R03,"Bind the exact M03-04 result request policy configuration support disposition parent and graph projections","artifact quality receipt with recursive semantic validation","genuine_handoff_and_artifact_evidence_closure compact-receipt case",G1
M03-05-R04,"Close the artifact ledger over exact quality source claim metric admission manifest applicability evidence and time bindings","content-addressed artifact evidence ledger","genuine_handoff_and_artifact_evidence_closure ledger-binding case",G1
M03-05-R05,"Require every evidence-unit source and claim reference to exist and carry a role allowed for that unit kind","locked source-role and claim-role matrices","genuine_handoff_and_artifact_evidence_closure role-closure case",G1
M03-05-R06,"Admit exactly six closed artifact evidence unit kinds","closed ProteinInferenceEvidenceUnitKind vocabulary","all-six-unit-kinds domain case",G1
M03-05-R07,"Require exactly all eight locked artifact signals on every evidence unit","closed signal vocabulary and exact signal-count invariant","exact-eight-signal-domain case",G1
M03-05-R08,"Enforce the exact signal-to-unit-kind applicability matrix and zero-count not-applicable representation","locked M0305_SIGNAL_APPLICABLE_UNIT_KINDS matrix","out-of-domain and all-six-unit-kinds cases",G1
M03-05-R09,"Derive every evidence score from bounded integer supporting/evaluated counts on the 1000000 scale with half-up rounding","exact integer score reducer","eight exact-integer signal cases",G1
M03-05-R10,"Evaluate clear suspected and detected states exactly at review exclusion adjacent and first-excess boundaries","closed two-threshold reducer","review-and-exclusion boundary case",G1
M03-05-R11,"Represent observed missing unsupported not-applicable and zero-denominator indeterminate evidence distinctly","closed observation and flag-state vocabularies","missingness_domains_profiles_and_disagreement cases",G1
M03-05-R12,"Never convert missing unsupported indeterminate or out-of-domain evidence into a clear negative or absent finding","required-signal eligibility and abstention rules","missing unsupported zero-denominator and not-applicable cases",G1
M03-05-R13,"Reduce each unit to categorical detected suspected indeterminate or clear state with deterministic precedence","closed categorical artifact-state reducer","seeded critical coexisting-indeterminate and canonical-clear cases",G1
M03-05-R14,"Emit contamination flags only for applicable suspected or detected locked contamination signals","three-signal contamination filter","suspected detected and noncontamination flag cases",G1
M03-05-R15,"Build a complete disjoint retain review exclude mask from categorical unit states","closed mask partition algorithm","contamination_masks_and_seeded_acceptance mask cases",G1
M03-05-R16,"State on every score posterior and contamination flag that an evidence score is not a calibrated probability","literal false probability marker and limitations","probability-ceiling case and recursive canary",G1
M03-05-R17,"Detect all eight preregistered synthetic critical signal classes at exact exclusion or above","finite seeded artifact panel","all-eight-seeded-critical-signal-classes case",G1
M03-05-R18,"Exclude zero units in the preregistered canonical clean panel","finite clean evidence panel","canonical-clean-zero-false-exclusions case",G1
M03-05-R19,"Select exactly one reviewed profile through applicability protocol CV and unit-version coherence","pairwise-disjoint exact profile matching","no-match and policy profile cases",G1
M03-05-R20,"Propagate rejected quarantined and abstained M03-04 state before artifact-ledger traversal","typed upstream quality safe-failure reducer","safe_failure_precedence_and_zero_ledger_traversal upstream cases",G1
M03-05-R21,"Abstain for unsupported compact quality shape and quarantine binding mismatch before scoring","shape and receipt-ledger closure gates","unsupported-shape and mismatch cases",G1
M03-05-R22,"Apply deterministic reject quarantine abstain and clear precedence without erasing coexisting uncertainty","closed disposition reducer","safe-failure precedence and detected-plus-indeterminate cases",G1
M03-05-R23,"Emit no score posterior contamination flag or successful mask membership for safe failure","empty-success-output invariant","safe-failure no-success-claim case",G1
M03-05-R24,"Reject duplicate keys coercion non-finite values unknown fields unknown terms missing required fields and silent defaults","strict JSON and frozen closed contracts","strict ingress JSON cases",G1
M03-05-R25,"Enforce installed source claim upstream-claim unit-reference unit score flag profile version exact reachable 18-evidence 35-finding count 4 MiB request and 8 MiB result ceilings","bounded collections counts and separate request/result canonical caps","strict ingress and result exact-maximum and first-excess cases",G1
M03-05-R26,"Preserve complete result equality across semantic reordering and typed dictionary and strict-JSON requests","semantic canonical normalization","canonical_privacy_and_resigned_forgery_resistance equality cases",G1
M03-05-R27,"Keep canonical request policy profile threshold receipt ledger finding and result digests stable","field-owned canonical digest functions","canonical digest-stability case",G1
M03-05-R28,"Reject nested and re-signed forgery even when an attacker recomputes outer digests","recursive semantic replay and derived-digest closure","forgery matrix and re-signed nested-projection case",G1
M03-05-R29,"Expose matching library engine service plugin API and CLI detection behavior","one public operation with adapter parity","interfaces_recovery_evidence_and_benchmark parity cases",G1
M03-05-R30,"Expose POST /v1/modules/M03-05/artifacts and exact installed schemas through API GET and CLI export","strict detection adapter and read-only schema routes","API CLI detection and schema cases",G1
M03-05-R31,"Emit only categorical artifact posteriors contamination flags exclusion mask findings support uncertainty provenance evidence limitations disposition and review state","closed M03-05 result envelope and parent claims ceiling","canonical result and every typed outcome",G1
M03-05-R32,"Exclude direct identifiers sequences accessions protein/proteoform/activity claims abundance subtype proteotype kinase treatment and clinical decisions","closed schemas and recursive forbidden-key oracle","recursive privacy ownership and probability canary case",G1
M03-05-R33,"Recover only through a new immutable superseding artifact result","append-only recovery contract","interfaces_recovery_evidence_and_benchmark recovery case",G1
M03-05-R34,"Time only public detect_protein_inference_artifacts after genuine upstream receipt ledger and policy construction","request construction outside timed region","interfaces_recovery_evidence_and_benchmark timing case",G1
M03-05-R35,"Replay-verify stored M03-05 outputs through bounded duplicate-safe library API and CLI/HTTP adapters","M0305Service.verify with strict result adapter and canonical result cap","service API CLI replay parity plus re-signed nested-result rejection cases",G1
