requirement_id,requirement,contract_or_algorithm,executable_evidence,gate
M04-06-R01,"Authorize configuration identity/lineage provenance consent quality support and intended use before receipt or ledger traversal","seven-control M04-06 authorization preflight","strict_ingress_capacity_and_hostile_authorization denial matrix and hostile-ledger cases",G1
M04-06-R02,"Use a genuine public M04-01 through M04-05 chain in executable evidence without handwritten upstream result envelopes","full strict M04-05 result replay plus derived target receipt and public evidence builder","genuine_handoff_and_support_ledger_closure genuine-chain case",G1
M04-06-R03,"Bind the exact M04-05 result request policy configuration support disposition quality receipt artifact ledger profile and target projection","artifact harmonization receipt with recursive semantic validation","genuine_handoff_and_support_ledger_closure compact-receipt case",G1
M04-06-R04,"Close the support ledger over the exact artifact result receipt projected-target binding observations invariants evidence and time","content-addressed proteoform support ledger","genuine_handoff_and_support_ledger_closure support-ledger case",G1
M04-06-R05,"Require every support observation to preserve the projected M04-05 unit kind aggregate target state action all seven posterior digests contamination flags and exclusion state","exact target-receipt to support-observation binding","genuine_handoff_and_support_ledger_closure observation-binding case",G1
M04-06-R06,"Require exactly one level for every one of eight locked technical factors on every observation","closed factor vocabulary and exact factor-count invariant","genuine_handoff_and_support_ledger_closure eight-factor-shape case",G1
M04-06-R07,"Require exactly eight ordered profile stages with every technical factor once","closed normalization profile stage structure","canonical clean harmonization and all factor-normalization cases",G1
M04-06-R08,"Derive each non-reference level shift as an exact signed lower median of paired estimation-anchor integer differences","fixed-point lower-median estimator","eight exact factor-normalization cases",G1
M04-06-R09,"Apply the eight stages sequentially and bind every pre-stage shift adjustment and post-stage coordinate","ordered transformation trace with nested digest closure","exact_fixed_point_factor_normalization sequential-replay case",G1
M04-06-R10,"Enforce exact reviewed shift caps and fixed-point coordinate boundaries without silent overflow or promotion","bounded signed shift and coordinate clamp algorithm","exact_fixed_point_factor_normalization cap-and-clamp boundaries",G1
M04-06-R11,"Treat support coordinates as bounded technical coordinates rather than abundance or calibrated probability","literal false probability marker and module limitations","fixed-point cases and recursive ownership/probability canary",G1
M04-06-R12,"Prevent M04-05 review and excluded targets from training shifts or receiving corrections","one-way artifact action firewall","artifact_firewall_and_typed_state_fidelity review/exclusion cases",G1
M04-06-R13,"Preserve observed missing censored not-applicable and unsupported states without imputation","closed support observation-state union","artifact_firewall_and_typed_state_fidelity typed-state cases",G1
M04-06-R14,"Preserve a censored upper bound exactly and distinguish observed zero from missing support","typed coordinate-state validation and value replay","censored-bound and observed-zero cases",G1
M04-06-R15,"Keep estimation and validation anchor sets unique disjoint and known to the support ledger","closed stage-anchor membership validation","heldout_technical_and_biological_invariants technical-residual case",G1
M04-06-R16,"Accept a technical stage only when held-out residual spread reduces within reviewed tolerance","held-out before/after technical diagnostic","held-out reduction and unreduced-effect cases",G1
M04-06-R17,"Protect support direction across matched anchors in distinct biological groups","support-direction invariant replay","support-direction preserved and violation cases",G1
M04-06-R18,"Protect support rank across distinct anchors in one biological context","support-rank invariant replay","support-rank preserved and violation cases",G1
M04-06-R19,"Protect composition fraction across matched proteoform-candidate and spectral-feature anchors","composition-fraction invariant replay","composition fraction preserved and drift cases",G1
M04-06-R20,"Distinguish not-evaluable protected invariants from evaluable violations","typed invariant diagnostics plus abstain/quarantine precedence","heldout_technical_and_biological_invariants negative cases",G1
M04-06-R21,"Propagate quarantined and abstained M04-05 states before support-ledger traversal","typed upstream artifact safe-failure reducer","safe_failure_profiles_and_precedence zero-traversal cases",G1
M04-06-R22,"Quarantine a complete artifact receipt containing excluded or review targets before normalization","artifact action safe-failure firewall","safe_failure_profiles_and_precedence complete-mask cases",G1
M04-06-R23,"Quarantine artifact receipt to support-ledger mismatch before deriving any shift","receipt-ledger closure gate","safe_failure_profiles_and_precedence binding-mismatch case",G1
M04-06-R24,"Select exactly one reviewed profile through applicability assay-protocol specimen-processing controlled-vocabulary and unit-version coherence","pairwise-disjoint exact profile matching","safe_failure_profiles_and_precedence unsupported-profile case",G1
M04-06-R25,"Apply deterministic quarantine abstain and accepted precedence without erasing coexisting uncertainty","closed finding action and disposition reducer","safe_failure_profiles_and_precedence matrix",G1
M04-06-R26,"Reject duplicate keys coercion non-finite values unknown fields unknown terms missing required fields and silent defaults","strict JSON and frozen closed contracts","strict_ingress_capacity_and_hostile_authorization JSON cases",G1
M04-06-R27,"Enforce installed stage target observation level shift anchor invariant evidence adjustment profile version result-evidence finding coordinate and request-byte ceilings","bounded collections fixed-point values and 4 MiB canonical cap","strict ingress exact-maximum and first-excess cases",G1
M04-06-R28,"Preserve complete result equality across semantic reordering and typed dictionary and strict-JSON requests","semantic canonical normalization","canonical_privacy_and_resigned_forgery_resistance equality cases",G1
M04-06-R29,"Keep field-owned request policy profile receipt target-binding ledger stage shift adjustment diagnostic invariant finding and result digests stable","field-owned canonical digest functions","canonical digest-stability case",G1
M04-06-R30,"Reject nested and re-signed forgery even when an attacker recomputes outer digests","recursive semantic replay and derived-digest closure","forgery matrix and re-signed receipt without ledger rebind",G1
M04-06-R31,"Expose matching library engine service plugin API and CLI harmonization behavior","one public operation with adapter parity","interfaces_recovery_evidence_and_benchmark parity cases",G1
M04-06-R32,"Expose POST /v1/modules/M04-06/harmonization and exact installed schemas through API GET and CLI export","strict harmonization adapter and read-only schema routes","API CLI harmonization and schema cases",G1
M04-06-R33,"Emit only fixed-point technical harmonization traces diagnostics findings support uncertainty provenance evidence limitations and review state","closed M04-06 result envelope and exact protein_rna_discordance parent ceiling","canonical result and every typed outcome",G1
M04-06-R34,"Exclude direct identifiers sequences accessions protein/proteoform/activity claims abundance probability subtype proteotype kinase treatment and clinical decisions and derive every M04-06 graph reviewer and owned evidence identifier as namespaced 64-hex content","opaque identifier helper closed schemas and recursive forbidden-key oracle","recursive privacy ownership and probability canary case",G1
M04-06-R35,"Recover only through a new immutable superseding harmonization result","append-only recovery contract","interfaces_recovery_evidence_and_benchmark recovery case",G1
M04-06-R36,"Time only public harmonize_proteoform_analysis after genuine upstream receipt ledger policy profile and invariant construction","request construction outside timed region","interfaces_recovery_evidence_and_benchmark timing case",G1
