module_id,requirement,evidence,verification,status
GLIO-PROTEOGEN-M22-02,caller-declared M22-01 media binding,contracts/m22_02/v1.py upstream media closure,contract/runtime/adversarial tests,pass
GLIO-PROTEOGEN-M22-02,closed fixture kinds and case IDs,contracts/m22_02/v1.py corpus/manifest validators,evaluator/adversarial tests,pass
GLIO-PROTEOGEN-M22-02,locked configuration and reproducible seeds,contracts/m22_02/v1.py GenerationConfiguration,runtime/evaluator determinism tests,pass
GLIO-PROTEOGEN-M22-02,deterministic result identity and replay,contracts/m22_02/canonical.py and engine.py,replay/request/result tamper tests,pass
GLIO-PROTEOGEN-M22-02,seven-control fail-closed preflight,modules/.../engine.py,denial and hostile mapping tests,pass
GLIO-PROTEOGEN-M22-02,support/provenance/uncertainty closure,modules/.../engine.py,runtime/evaluator checks,pass
GLIO-PROTEOGEN-M22-02,safe abstention and unsupported boundary,contracts/m22_02/v1.py,result closure tests,pass
GLIO-PROTEOGEN-M22-02,strict parse-once plugin,modules/.../plugin.py,plugin token/parity tests,pass
GLIO-PROTEOGEN-M22-02,FastAPI/Typer interfaces,modules/.../api.py and cli.py,interface/sanitized-error tests,pass
GLIO-PROTEOGEN-M22-02,evaluator and locked benchmark,evals/m22_02,evaluator matrix and ten iterations,pass
GLIO-PROTEOGEN-M22-02,provisional authority and prohibited boundaries,docs/modules/M22-02-synthetic-truth-simulation-generator.md,owner review and evidence,provisional
