module_id,authority_sha256,authority_lines,requirement,implementation,evidence,verification
GLIO-PROTEOGEN-M19-03,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6604-6644,fusion and aggregation beneath Immunopeptidomic evidence,M1903 contract identity operation parent and provisional ABI metadata,contract tests,pass
GLIO-PROTEOGEN-M19-03,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6604-6644,Preserve source identity ownership reliability uncertainty and disagreement,SourceContribution IntegratedEvidenceObject DisagreementRecord and uncertainty/provenance result fields,contract runtime and evaluator tests,pass
GLIO-PROTEOGEN-M19-03,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6604-6644,Integrate only component-specific evidence to parent proteotype,deterministic reliability-weighted engine with emits_parent false and exact source preservation,integrated evaluator scenario,pass
GLIO-PROTEOGEN-M19-03,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6604-6644,Reject prohibited kinase all-omics treatment and identity/consent inference,blocked claim vocabulary control preflight no traversal and descriptor safety flags,negative runtime and plugin tests,pass
GLIO-PROTEOGEN-M19-03,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6604-6644,Abstain safely on unsupported low reliability and unresolved disagreement,typed findings safe support status no integrated object and mandatory review,adversarial matrix and evaluator,pass
GLIO-PROTEOGEN-M19-03,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6604-6644,Bind the M19-02 upstream media type and caller-declared artifacts,strict alignment media type source artifact closure and parse-once validation,interface and evaluator tests,pass
GLIO-PROTEOGEN-M19-03,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6604-6644,Expose primary alternate and fallback architecture without claiming execution,contract metadata records event-driven orchestration typed integration and human review paths,contract schema and docs,pass
GLIO-PROTEOGEN-M19-03,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6604-6644,Provide replay-safe tamper-evident results,canonical request/result bytes deterministic IDs and replay verification,replay and tamper tests plus evaluator,pass
GLIO-PROTEOGEN-M19-03,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6604-6644,Exercise G2 S2 Quality engineering gates,locked eight-scenario corpus 27 focused tests scoped branch coverage and benchmark,release evidence,pass
GLIO-PROTEOGEN-M19-03,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6604-6644,Publish strict interfaces and package evidence,FastAPI Typer plugin schema exports wheel sdist and isolated import,interface tests and package verifier,pass
