requirement_id,dossier_source,requirement,implementation,evidence,evidence_gate
M18-03-R01,"dossier:6244-6246","Own fusion and aggregation beneath spatial proteomics projection","M1803 contract identity, operation, parent ceiling and provisional ABI metadata","contract authority assertions; schema metadata",G0
M18-03-R02,"dossier:6246-6252","Emit integrated evidence with source attribution for biomarker panel","IntegratedEvidenceObject, source contributions and result envelope","contract tests; integrated runtime",G1
M18-03-R03,"dossier:6248","Preserve prohibited boundary and never infer identity/consent or treatment","blocked plugin authority flags, forbidden claim checks and no content traversal","ownership adversarial test; manifest",G2
M18-03-R04,"dossier:6260-6264","Validate controls and preserve reliability, provenance, uncertainty and evidence","control preflight, reliability threshold, provenance records and seven not-estimable dimensions","control denial; uncertainty oracle",G2
M18-03-R05,"dossier:6262-6264","Expose explicit abstention for unresolved or unsupported inputs","typed low-reliability, ownership and disagreement findings with no integrated object","runtime and evaluator adversarial cases",G2
M18-03-R06,"dossier:6264","Require review for critical discrepancy, OOD, override, promotion and conflict","unresolved disagreement abstention and human_review_required","runtime; manifest review plan",G2
M18-03-R07,"dossier:6254-6258","Record primary/alternate/fallback architectures without claiming execution","manifest marks pathway/network/HITL architectures declared_not_executed","manifest and dependency audit",G2
M18-03-R08,"dossier:6266-6268","Provide versioned implementation, locked tests, benchmark and safe failure","engine/service/plugin, API, CLI, evaluator, benchmark and docs","focused suites and evidence inventory",G2
M18-03-R09,"dossier:6270","Bind owner, safety class and gate","literal ML engineering/S2/G2 metadata across contract, schema, plugin and fixture","identity assertions",G2
M18-03-R10,"dossier:6266-6268","Make result replay-safe and auditable","canonical request/result digests and replay verifier","tampered replay test and benchmark digests",G2
M18-03-R11,"dossier:6278-6284","Exercise critical cases with zero silent coercions and safe failure","strict Pydantic models and eight-case adversarial matrix","evaluator 8/8 = 100%",G2
M18-03-R12,"dossier:6278-6284","Expose strict schema, API, CLI, plugin, package and release surfaces","eight schemas, GET/POST, Typer commands, descriptor and workflow hooks","interface, package and workflow evidence",G2
