requirement_id,source_anchor,requirement,contract_or_algorithm,executable_evidence,gate
M12-08-R01,dossier:4304-4307,Own mechanism evidence dossier beneath Driver-to-protein consequence map,GLIO-PROTEOGEN-M12-08 provisional operation and biomarker_panel parent target,tests/contract/test_m12_08_deep.py::test_supported_dossier_is_complete_and_replayable,G3
M12-08-R02,dossier:4306-4312,Emit only review-ready mechanism dossier and biomarker_panel target,MechanismEvidenceDossier with emits_parent=false and explicit output ceiling,tests/contract/test_m12_08_deep.py::test_supported_dossier_is_complete_and_replayable,G1
M12-08-R03,dossier:4307-4309,Do not own kinase state all-omics fusion treatment identity or consent,Provisional schema exclusion metadata and runtime limitations,tests/contract/test_m12_08_provisional.py::test_provisional_schemas_require_reconstructable_dossier_controls,G4
M12-08-R04,dossier:4310-4320,Bind proteome genome transcriptome PTM configuration identity provenance consent quality support intended use,Opaque ArtifactReference inputs plus seven-control preflight,tests/contract/test_m12_08_deep.py::test_controls_are_checked_before_materialization,G4
M12-08-R05,dossier:4314-4318,Support Bayesian graph network hybrid curated rule and orthogonal consensus architectures,Locked MechanismDossierConfiguration with deterministic closed architecture grammar,tests/contract/test_m12_08_deep.py::test_closed_architecture_families_are_deterministic,G1
M12-08-R06,dossier:4320-4321,Validate identity version units completeness assay support and quarantine unresolved inputs,Strict request closure plus accepted seven-control matrix and safe support routing,tests/contract/test_m12_08_deep.py::test_unsafe_upstream_metadata_abstains_safely,G3
M12-08-R07,dossier:4322-4323,Quantify measurement sampling parameter model-form identification support transport uncertainty,expected_uncertainty and UncertaintyProfile with seven dimensions,tests/contract/test_m12_08_deep.py::test_result_digest_is_canonical_and_all_evidence_is_typed,G3
M12-08-R08,dossier:4324-4325,Require human review for discrepancy novel OOD support override claim promotion release exception or conflict,Review-required abstention envelope with human_review_required=true,tests/contract/test_m12_08_deep.py::test_unknown_architecture_abstains_without_dossier,G4
M12-08-R09,dossier:4326-4328,Make every chain link reconstructable and expose validation route weak links and rollback evidence,Strict six-link chain closure counter-evidence validation route claim ceiling and replay verifier,tests/contract/test_m12_08_deep.py::test_adversarial_dossier_and_request_closure_matrix,G1/G3/G4
M12-08-R10,dossier:4338-4344,Meet contract functional robustness uncertainty and safety tests,Strict API CLI plugin plus adversarial matrix and branch coverage evidence,tests/integration/test_m12_08_interfaces.py::test_fastapi_success_and_verify_parity,G0/G1/G3/G4
M12-08-R11,dossier:4328,Provide locked benchmark traceability risk-control manifest reviewer sign-off and recovery evidence,Evaluator benchmark release evidence and traceability records,tests/evals/test_m12_08.py::test_locked_m1208_evaluator_matrix_passes,G0/G1/G3/G4
