requirement_id,source_anchor,requirement,contract_or_algorithm,executable_evidence,gate
M04-03-R01,"dossier:1204-1206","Own raw-format ingestion and parsing beneath C04 Proteoform/isoform inference","literal module identity operation and closed policy artifact document contracts","corpus identity assertion and public-operation smoke",G0
M04-03-R02,"dossier:1206","Implement strict parsing checksum verification format and version validation semantic validation quarantine and typed errors","bytes-aware ingress checksum canonical JSON strict document union diagnostics and typed errors","canonical mapping cap semantic diagnostic and strict-boundary groups",G0
M04-03-R03,"dossier:1206,1212","Emit only validated raw-input objects and parse diagnostics supporting protein-RNA discordance","closed validated-input diagnostic receipt and result envelopes with parent context only","canonical_four_role_documents_validated and parent_context_preserved_without_emission",G0
M04-03-R04,"dossier:1206","Do not emit downstream proteogenomic state proteotype or protein-level subtype","literal false authority flags and recursive closed-result oracle","privacy_and_authority_ceiling and exact_three_limitations_and_all_authority_flags_false",G0
M04-03-R05,"dossier:1206,1208","Exclude KINOPHOS kinase ownership generic all-omics fusion and direct treatment recommendation","literal false kinase fusion recommendation and clinical fields","zero_model_event_persistence_authority and privacy_and_authority_ceiling",G0
M04-03-R06,"dossier:1208","Do not mutate upstream evidence relabel another output erase disagreement infer identity or consent or turn missing evidence negative","frozen embedded result immutable typed documents/reference retention and abstention semantics","diagnostics_and_nonmutation plus upstream safe-failure groups",G0
M04-03-R07,"dossier:1210","Accept proteome genome transcriptome and PTM manifest inputs plus seven external controls","four closed roles exact upstream projection and raw authorization preflight","canonical_four_role_documents_validated and strict_boundary_interface_and_replay",G0
M04-03-R08,"dossier:1212","Retain typed uncertainty support provenance evidence limitations and parent context","fully rederived closed result and compact receipt envelopes","canonical and every safe-failure result case",G0
M04-03-R09,"dossier:1214-1218,1232-1236","Record dossier architecture options while selecting deterministic stateless schema-first validation and quarantine-first safe failure","model manifest marks stoichiometric factorization pathway network and protein-complex graph declared_not_executed","manifest inspection and runtime dependency audit",G0
M04-03-R10,"dossier:1220","Validate identity version units completeness assay support and parent-specific quality while quarantining unresolved inputs","exact upstream replay strict documents and independent semantic diagnostics","version_unit_and_reference_validation and completeness_assay_and_parent_quality",G0
M04-03-R11,"dossier:1222","Represent measurement sampling parameter model-form identification support and transport uncertainty without fabricated estimates","all seven dimensions literal not_estimable plus three limitations","all_seven_uncertainty_not_estimable and exact_three_limitations_and_all_authority_flags_false",G0
M04-03-R12,"dossier:1222","Expose explicit abstention for non-evaluable evidence","closed evidence/completeness/support/quality states and abstention precedence","artifact_not_evaluable_abstains and abstained_upstream_zero_artifact_traversal",G0
M04-03-R13,"dossier:1224","Require external review for critical discrepancy novel or OOD state override promotion exception or unresolved biological conflict","review iff non-validated and no self-approval","quarantine abstention reviewer-signoff and rollback evidence",G0
M04-03-R14,"dossier:1226","Ingest valid fixtures reproducibly and reject or quarantine malformed critical fixtures without coercion","strict immutable parsing deterministic canonicalization and typed failure","72-case eval deterministic equality strict JSON and coercion cases",G0
M04-03-R15,"dossier:1226","Provide versioned implementation declared uncertainty locked unit integration benchmark evidence and safe failure","versioned schemas interface parity preflight eval and benchmark","focused tests eval interface and benchmark reports",G0
M04-03-R16,"dossier:1228","Provide locked tests benchmark traceability risk controls data model reference manifest reviewer sign-off and rollback","fixture docs traceability executable eval benchmark and governed plans","static artifact audit and release evidence bundle",G0
M04-03-R17,"dossier:1230","Bind ownership safety and evidence gate to Clinical science S2 G0","literal contract plugin manifest fixture and result metadata","module identity assertions",G0
M04-03-R18,"dossier:1234","Use the schema-first batch architecture only as a deterministic validation boundary","strict schemas canonical document parsing and no registry or object-store lookup","schema tests model manifest and dependency audit",G0
M04-03-R19,"dossier:1235","Do not install event sourcing stoichiometric factorization anomaly models or mutable evidence graphs at G0","zero model and persistence authority","zero_model_event_persistence_authority and model-manifest inspection",G0
M04-03-R20,"dossier:1236","Use quarantine-first semantics without executing a pathway activity network or offline signing authority","typed disposition precedence and false model/signing authority","quarantine_precedes_abstention and authority audits",G0
M04-03-R21,"dossier:1240","Exercise every critical contract and schema case with zero silent coercion","declared/executed closure strict reconstruction and schema validation","72 declared equals 72 executed plus coercion unknown and duplicate-key cases",G0
M04-03-R22,"dossier:1241","Do not claim future G1 primary-error tolerance","claims ceiling and exact limitations","recursive authority and evidence claims audit",G0
M04-03-R23,"dossier:1242","Do not claim future G3 robustness shift or perturbation qualification","zero-model claims ceiling","manifest and evidence claims audit",G0
M04-03-R24,"dossier:1243","Do not claim future G3 calibration coverage from not-estimable uncertainty","closed not_estimable uncertainty and no model execution","result uncertainty assertions and evidence claims audit",G0
M04-03-R25,"dossier:1244","Lock ownership consent provenance auditability and recovery without claiming completed future G4 qualification","preflight immutable provenance recursive authority filesystem containment and append-only supersession","strict boundary forgery CLI and rollback evidence",G0
M04-03-R26,"locked-risk:authorization","Check all seven controls before any governed traversal and contain hostile mapping access","raw mapping-safe preflight with dict-subclass firewall Exception fail-closed and BaseException passthrough","seven denial cases arbitrary_mapping_rejected_without_access and dict_subclass_exception_baseexception_firewall",G0
M04-03-R27,"locked-risk:upstream","Require the exact full self-validating M04-02 result transitively containing genuine M01-02 and M04-01","FrozenModel replay of the exact envelope with genuine public upstream builder","exact_m0402_full_result_replay exact_m0401_transitive_protocol_bindings and upstream forgery cases",G0
M04-03-R28,"locked-risk:bindings","Close context identity quality-result support-receipt intended-use configuration and chronology","relational validators over lineage receipt evidence configuration and timestamps","stale_identity_binding_rejected stale_quality_result_binding_rejected stale_support_receipt_binding_rejected stale_intended_use_binding_rejected",G0
M04-03-R29,"locked-risk:circularity","Create documents before M04-02 and omit the M04-02 result digest from document digest inputs","document digests bind manifest claims without circular result dependency","canonical_document_byte_projection and genuine builder smoke",G0
M04-03-R30,"locked-risk:upstream-safe-failure","Map valid upstream quarantine to quarantine and upstream abstention to abstention before artifact access","strict upstream disposition branch after replay and before mapping traversal","quarantined_upstream_zero_artifact_traversal and abstained_upstream_zero_artifact_traversal",G0
M04-03-R31,"locked-risk:mapping","Require exactly four role keys and exact built-in immutable bytes values","mapping type role-set and exact-type firewall","missing_role_mapping_rejected extra_role_mapping_rejected bytearray_rejected bytes_subclass_rejected",G0
M04-03-R32,"locked-risk:integrity","Reject declared-size and content-digest mismatch before semantic diagnostics","byte-length and cryptographic digest comparisons","declared_size_mismatch_rejected and manifest_digest_mismatch_rejected",G0
M04-03-R33,"locked-risk:caps","Accept at most 4194304 request bytes 8388608 bytes per document and 33554432 total bytes","preparse aggregate and per-role cap guards","largest_constructible_document_accepted per_document_8mib_plus_one_rejected aggregate_32mib_plus_one_rejected request_4mib_plus_one_rejected",G0
M04-03-R34,"locked-risk:allocation","Permit declared record count only through signed 64-bit maximum without allocating from it","bounded scalar declaration excluded from buffers loops and allocations","contract boundary tests and capacity audit",G0
M04-03-R35,"locked-risk:strict-json","Reject malformed or noncanonical JSON duplicate keys unknown fields scalar coercion and role/document mismatch","strict duplicate-aware loader canonical byte comparison and discriminated document union","duplicate_json_key_rejected unknown_field_rejected coercion_rejected role_document_type_mismatch_rejected",G0
M04-03-R36,"locked-risk:parser-policy","Require 4-32 approved profiles covering every role with exact format version parser MIME cap and evidence","closed reviewed parser profile tuple and role coverage validator","canonical_four_role_documents_validated minimum_20_evidence_entries maximum_48_evidence_entries",G0
M04-03-R37,"locked-risk:semantic-validation","Keep unit reference coordinate assay processing format completeness support and quality checks separate","role-specific typed documents and one canonical diagnostic per code and role with all comparison bases aggregated","version_unit_and_reference_validation and completeness_assay_and_parent_quality",G0
M04-03-R38,"locked-risk:diagnostics","Lock 17 codes to exact actions and quarantine over abstain over record precedence","canonical expected_diagnostics and disposition derivation","diagnostic_code_action_closure diagnostics_unique_and_canonically_ordered quarantine_precedes_abstention",G0
M04-03-R39,"locked-risk:duplicates","Permit and retain duplicate content without deduplication or authority selection","digest multimap and duplicate_content_retained record diagnostic","duplicate_content_retained_without_deduplication",G0
M04-03-R40,"locked-risk:nonmutation","Preserve all parsed documents manifest and content references and upstream objects","immutable models and exact canonical projections","content_references_preserved_exactly quarantine_preserves_validated_documents exact_compact_receipt_projection",G0
M04-03-R41,"locked-risk:missingness","Never convert unavailable indeterminate unsupported redacted incomplete or non-evaluable input to a negative finding","closed states and abstention with false biological authority","artifact_not_evaluable_abstains and abstention_never_infers_negative",G0
M04-03-R42,"locked-risk:evidence","Return exactly seven controls one policy 4-32 parsers four manifest refs and four content refs","canonical evidence index of 20-48 retained entries without digest deduplication","minimum_20_evidence_entries and maximum_48_evidence_entries",G0
M04-03-R43,"locked-risk:result-forgery","Fully rederive validated inputs diagnostics disposition receipt support uncertainty provenance evidence limitations review time and result digest","strict result-envelope replay with no public digest sentinel","result_derived_regions_forgery_rejected and embedded_upstream_forgery_rejected",G0
M04-03-R44,"locked-risk:canonicalization","Produce complete request document diagnostic receipt and result equality under semantic reorder","semantic normalization before field-owned digest derivation","semantic_reorder_full_equality and deterministic_full_result_equality",G0
M04-03-R45,"locked-risk:privacy","Use opaque local namespaces and exclude raw bytes rows identifiers sequences accessions measurements PTM sites and clinical material","recursive key value identifier and serialization oracle","result_contains_no_raw_bytes_or_rows recursive_canary_absent_from_result and privacy_and_authority_ceiling",G0
M04-03-R46,"locked-risk:authority","Keep every identity protein proteoform PTM CN discordance kinase fusion treatment mutation persistence and model authority false","closed result literal-false fields emits-parent-false receipt schema metadata ceilings and exact limitations","zero_model_event_persistence_authority exact_three_limitations_and_all_authority_flags_false privacy_and_authority_ceiling",G0
M04-03-R47,"locked-interface:schemas","Export exactly 12 named JSON Schema 2020-12 contracts and reject unknown names","closed schema registry for all installed document and result types","schema registry unit HTTP and CLI parity tests",G0
M04-03-R48,"locked-interface:http","Expose schema GET but deliberately no bytes-ingestion HTTP POST","schema-only HTTP adapter with execution route absent","interface test requires POST 404 or 405 and exact schema GET",G0
M04-03-R49,"locked-interface:cli","Expose strict CLI ingest and export-schema with exact four locked source filenames","single-snapshot regular-file boundary and shared public ingester","CLI parity tests and cli_symlink_nonregular_toctou_and_existing_output_refused",G0
