requirement_id,source_anchor,requirement,contract_or_algorithm,executable_evidence,gate
M12-04-R01,dossier:4128-4131,Own network state or mechanism inference beneath Driver-to-protein consequence map,GLIO-PROTEOGEN-M12-04 provisional operation and parent biomarker_panel,tests/contract/test_m12_04_deep.py::test_supported_posterior_is_typed_and_replayable,G2
M12-04-R02,dossier:4131-4133,Emit only mechanism posterior or state estimate with counter-evidence,MechanismEstimate posterior/state shape and required counter_evidence,tests/contract/test_m12_04_deep.py::test_state_method_preserves_alternatives_and_counter_evidence,G1
M12-04-R03,dossier:4133-4135,Preserve explicit assumptions and alternatives,estimate assumptions and alternatives fields retained on every inferred output,tests/contract/test_m12_04_deep.py::test_state_method_preserves_alternatives_and_counter_evidence,G1
M12-04-R04,dossier:4135-4137,Do not own kinase activity or emit prohibited outputs,provisional schema exclusion flags and limitations,tests/contract/test_m12_04_provisional.py::test_provisional_schemas_require_counter_evidence_and_abstention,G4
M12-04-R05,dossier:4137-4139,Do not mutate upstream or infer identity or consent,opaque ArtifactReference plus seven-control preflight,tests/contract/test_m12_04_deep.py::test_hostile_candidate_fails_closed,G4
M12-04-R06,dossier:4139-4143,Validate identity lineage provenance consent quality support and intended use,accepted/resolved/granted control matrix,tests/contract/test_m12_04_deep.py::test_control_denial_fails_before_typed_materialization,G4
M12-04-R07,dossier:4143-4147,Expose typed uncertainty support provenance evidence and limitations,seven UncertaintyProfile dimensions and ProvenanceRecord,tests/contract/test_m12_04_deep.py::test_uncertainty_and_canonical_dict_projections_are_explicit,G3
M12-04-R08,dossier:4147-4151,Use locked configuration and explicit model/calibration references,MechanismInferenceConfiguration.locked and content-addressed references,tests/contract/test_m12_04_deep.py::test_supported_posterior_is_typed_and_replayable,G1
M12-04-R09,dossier:4151-4156,Abstain on unsupported or missing evidence and require human review,closed method grammar and abstained no-estimate envelope,tests/contract/test_m12_04_deep.py::test_method_and_numeric_error_matrix_abstains,G3
M12-04-R10,dossier:4156-4160,Preserve provenance and replay recovery,canonical request/result digest and seven control records,tests/contract/test_m12_04_deep.py::test_tampered_digest_is_rejected_and_replay_can_be_disabled,G4
M12-04-R11,dossier:4160-4165,Verify synthetic truth and negative controls before promotion,fixture evaluator and explicit provisional evidence boundary,evals/m12_04/run.py,G1
M12-04-R12,dossier:4165-4171,Meet contract functional robustness uncertainty and safety tests,30 focused tests plus branch-enabled coverage,pytest scoped coverage command,G0/G1/G3/G4
