requirement_id,source_anchor,requirement,contract_or_algorithm,executable_evidence,gate
M13-04-R01,dossier:4488-4491,Own network state or mechanism inference beneath Variant-peptide channel,GLIO-PROTEGEN-M13-04 provisional operation and parent proteotype,tests/contract/test_m13_04_deep.py::test_posterior_result_has_counter_evidence_and_provenance,G2
M13-04-R02,dossier:4496,Emit only mechanism posterior or state estimate with counter-evidence,MechanismEstimate posterior/state shape and required counter_evidence,tests/contract/test_m13_04_deep.py::test_method_matrix_is_deterministic_and_safe,G1
M13-04-R03,dossier:4490-4496,Preserve explicit assumptions and alternatives,estimate assumptions and alternatives fields retained on every inferred output,tests/contract/test_m13_04_deep.py::test_posterior_result_has_counter_evidence_and_provenance,G1
M13-04-R04,dossier:4492-4494,Do not own kinase activity or emit prohibited outputs,provisional schema exclusion flags and limitations,tests/contract/test_m13_04_deep.py::test_schema_metadata_and_unknown_schema_are_closed,G4
M13-04-R05,dossier:4492-4494,Do not mutate upstream or infer identity or consent,opaque ArtifactReference plus seven-control preflight,tests/contract/test_m13_04_deep.py::test_authorization_runs_before_typed_traversal,G4
M13-04-R06,dossier:4498-4500,Validate identity lineage provenance consent quality support and intended use,accepted/resolved/granted control matrix,tests/contract/test_m13_04_deep.py::test_authorization_runs_before_typed_traversal,G4
M13-04-R07,dossier:4496-4500,Expose typed uncertainty support provenance evidence and limitations,seven UncertaintyProfile dimensions and ProvenanceRecord,tests/contract/test_m13_04_deep.py::test_uncertainty_is_explicit_on_supported_and_abstained_paths,G3
M13-04-R08,dossier:4498-4500,Use locked configuration and explicit model/calibration references,MechanismInferenceConfiguration.locked and content-addressed references,tests/contract/test_m13_04_deep.py::test_posterior_result_has_counter_evidence_and_provenance,G1
M13-04-R09,dossier:4502-4505,Abstain on unsupported or missing evidence and require human review,closed method grammar and abstained no-estimate envelope,tests/contract/test_m13_04_deep.py::test_method_matrix_is_deterministic_and_safe,G3
M13-04-R10,dossier:4509-4518,Preserve provenance and replay recovery,canonical request/result digest and seven control records,tests/contract/test_m13_04_deep.py::test_replay_and_tamper_detection,G4
M13-04-R11,dossier:4519-4531,Verify synthetic truth and negative controls before promotion,fixture evaluator and explicit provisional evidence boundary,evals/m13_04/run.py,G1
M13-04-R12,dossier:4524-4531,Meet contract functional robustness uncertainty and safety tests,27 focused tests plus branch-enabled coverage,pytest scoped coverage command,G0/G1/G3/G4
