requirement_id,source_anchor,requirement,contract_or_algorithm,executable_evidence,gate
M04-02-R01,"dossier:1160-1162","Own identity and lineage reconciliation beneath C04 Proteoform/isoform inference","literal module identity operation and closed policy claim derivation graph contracts","corpus identity assertion and public-operation smoke",G0
M04-02-R02,"dossier:1162","Implement patient specimen aliquot section analyte run and derived-object reconciliation","seven-kind upstream graph reuse and derived-object anchor reachability","canonical_all_seven_entity_chain and missing_required_entity_kind",G0
M04-02-R03,"dossier:1162","Detect swaps collisions duplication and cross-patient links without identity repair","subject comparison scope and artifact indexes digest multimap and subject-union detection","swap collision duplicate and cross-patient groups",G0
M04-02-R04,"dossier:1162,1168","Emit only immutable identity resolution and lineage graph supporting protein-RNA discordance","closed result graph receipt and exact parent-target fields","canonical reconciliation and recursive_authority_ceiling",G0
M04-02-R05,"dossier:1162","Do not emit downstream proteogenomic state proteotype or protein-level subtype","literal false authority flags and recursive closed-result oracle","recursive_authority_ceiling",G0
M04-02-R06,"dossier:1164","Exclude KINOPHOS kinase ownership generic all-omics fusion and direct treatment recommendation","literal false inference/fusion/recommendation fields","no_cn_or_discordance_inference and recursive_authority_ceiling",G0
M04-02-R07,"dossier:1164","Do not mutate upstream evidence relabel another output erase disagreement infer identity or consent or turn missing evidence negative","frozen embedded results immutable graph retention typed evidence states and no-repair findings","swap nonmutation evidence-state retention and forgery cases",G0
M04-02-R08,"dossier:1166","Accept only governed declarations for proteome genome transcriptome PTM annotations and seven external controls","five closed artifact roles exact role MIME mapping and raw authorization preflight","canonical_all_five_artifact_roles and strict boundary group",G0
M04-02-R09,"dossier:1168","Retain typed uncertainty support provenance evidence limitations and parent context","fully rederived closed result and receipt envelopes","canonical and every safe-failure result case",G0
M04-02-R10,"dossier:1170-1174,1188-1192","Record dossier architecture options while selecting deterministic stateless schema-first reconciliation with no model or event store","model manifest marks residual and CN-regression models declared_not_executed","manifest inspection and runtime dependency audit",G0
M04-02-R11,"dossier:1176","Validate identity version completeness assay support and parent-specific quality and quarantine unresolved inputs","full upstream replay exact chronology producer bindings and typed disposition precedence","upstream_and_producer_drift plus valid safe-failure cases",G0
M04-02-R12,"dossier:1178","Represent measurement sampling parameter model-form identification support and transport uncertainty without fabricated estimates","all seven dimensions literal not_estimable plus three limitations","canonical result exact uncertainty and limitation assertions",G0
M04-02-R13,"dossier:1180","Require external review for critical discrepancy novel/OOD state override promotion exception or unresolved biological conflict","review iff non-reconciled and no self-approval","quarantine abstention reviewer-signoff and rollback evidence",G0
M04-02-R14,"dossier:1182","Resolve all locked identity fixtures with zero silent merge inferred identity or cross-patient assignment","closed graph reconciliation findings and explicit no-assignment invariant","70-case eval collision retention and no_patient_assignment_inferred",G0
M04-02-R15,"dossier:1182","Provide versioned implementation declared uncertainty locked unit integration benchmark evidence and safe failure","versioned schemas interface parity preflight eval and benchmark","focused tests eval interface and benchmark reports",G0
M04-02-R16,"dossier:1184","Provide locked tests benchmark traceability risk controls data model reference manifest reviewer sign-off and rollback","fixture docs traceability executable eval benchmark and governed plans","static artifact audit and release evidence bundle",G0
M04-02-R17,"dossier:1186","Bind ownership safety and evidence gate to Quality engineering S2 G0","literal contract plugin manifest fixture and result metadata","module identity assertions",G0
M04-02-R18,"dossier:1196","Exercise all critical contract and schema cases with zero silent coercion","declared/executed coverage strict reconstruction and schema validation","70 declared equals 70 executed plus coercion unknown and duplicate JSON cases",G0
M04-02-R19,"dossier:1197","Do not claim future G1 primary-error tolerance","claims ceiling and exact limitations","recursive authority and evidence claims audit",G0
M04-02-R20,"dossier:1198","Do not claim future G3 robustness shift or perturbation qualification","no-model claims ceiling","manifest and evidence claims audit",G0
M04-02-R21,"dossier:1199","Do not claim future G3 calibration coverage from not-estimable uncertainty","closed not_estimable uncertainty and no model execution","result uncertainty assertions and evidence claims audit",G0
M04-02-R22,"dossier:1200","Lock ownership consent provenance auditability and recovery without claiming completed future G4 qualification","preflight immutable provenance recursive authority and append-only supersession","strict boundary forgery and rollback evidence",G0
