requirement_id,source,requirement,implementation,evidence,gate
M05-01-R01,"dossier:1476-1478","Own protocol and metadata specification beneath PTM localization","literal module operation and closed protocol/profile contracts","public operation smoke and schema identity tests",G0
M05-01-R02,"dossier:1478","Implement controlled vocabulary mandatory metadata units versions cardinality compatibility and unresolved semantics","strict protocol component models and eight deterministic findings","contract invariant matrix and 40-case corpus",G0
M05-01-R03,"dossier:1478,1484","Preserve variant peptide solely as parent target","literal parent_target and emits_variant_peptide false","parent context and authority tests",G0
M05-01-R04,"dossier:1478","Do not emit exclusive technology proteogenomic state proteotype or protein-level subtype","literal false output flags and recursive claims ceiling","authority flags and privacy corpus cases",G0
M05-01-R05,"dossier:1478,1480","Keep kinase activity KINOPHOS-owned and exclude all-omics fusion and treatment advice","literal false flags and descriptor prohibitions","authority test and schema metadata",G0
M05-01-R06,"dossier:1480","Do not mutate relabel or erase upstream disagreement","frozen embedded request digest bindings and append-only supersession","full result replay and recovery case",G0
M05-01-R07,"dossier:1480","Do not infer missing identity or consent","seven-control typed preflight and false inference flag","each-control denial tests",G0
M05-01-R08,"dossier:1480,1514","Do not convert unsupported or missing evidence into negative","indeterminate status and abstained disposition","unsupported version and OOD cases",G0
M05-01-R09,"dossier:1482","Accept three scientific input roles as references only","exact three-role reference bundle and manifest","reference bundle validator and max builder",G0
M05-01-R10,"dossier:1482","Require approved configuration identity lineage provenance consent quality support and intended use","exact seven context controls","authorization firewall corpus and tests",G0
M05-01-R11,"dossier:1484","Emit only versioned schema profile and typed envelope","closed result request receipt findings support uncertainty provenance evidence limitations","strict result replay test",G0
M05-01-R12,"dossier:1486-1490,1504-1508","Record architecture options without inventing unavailable model inputs","manifest selects schema-first deterministic and marks NMF PCA ICA event storage unexecuted","model manifest inspection",G0
M05-01-R13,"dossier:1492","Validate identity","seven closed identity-key declarations and finding","identity incomplete quarantine case",G0
M05-01-R14,"dossier:1492","Validate version","profile approvals and exact schema pin","unsupported version abstention and pin forgery",G0
M05-01-R15,"dossier:1492","Validate units","six closed quantity-unit pairs","unit incompatibility quarantine",G0
M05-01-R16,"dossier:1492","Validate completeness","eight mandatory singleton fields and vocabulary closure","metadata incomplete quarantine",G0
M05-01-R17,"dossier:1492","Validate assay support","reviewed assay/specimen policy digest","supported and OOD cases",G0
M05-01-R18,"dossier:1492","Validate parent-specific quality","variant-peptide handoff plus accepted quality control","parent quality finding and control denial",G0
M05-01-R19,"dossier:1492","Quarantine unresolved supported inputs","nonconformant plus quarantined result","unresolved semantics case",G0
M05-01-R20,"dossier:1494","Expose seven uncertainty dimensions","exact seven NOT_ESTIMABLE estimates","uncertainty narrowed corpus case",G0
M05-01-R21,"dossier:1494","Expose sensitivity","three fixed sensitivity notes","uncertainty equality and replay",G0
M05-01-R22,"dossier:1494","Expose explicit abstention","indeterminate findings unsupported support and abstained disposition","unsupported cases",G0
