requirement_id,source_anchor,requirement,contract_or_algorithm,executable_evidence,gate
M05-06-R01,"dossier:M05-06","Harmonize aggregate PTM-localization analysis beneath the M05-05 artifact result","literal module identity, provisional version, operation, parent target, and output media type","module identity and schema metadata tests",G1-draft
M05-06-R02,"dossier:M05-06","Require the exact full M05-05 result before aggregate traversal","full envelope replay with disposition, version, binding, identity, provenance, support, and result digest checks","genuine builder and upstream forgery scenarios",G1-draft
M05-06-R03,"locked-risk:strict-ingress","Reject duplicate JSON, unknown fields, scalar coercion, wrong media, and oversized requests","strict JSON loader, bounded canonical bytes, exact TypeAdapter validation, and sanitized diagnostics","contract and API/CLI boundary tests",G1-draft
M05-06-R04,"locked-risk:authorization","Check all seven controls fail-closed before ledger or observation access","typed authorization preflight and no-traversal denial branch","runtime authorization and no-traversal tests",G1-draft
M05-06-R05,"locked-risk:safe-failure","Preserve upstream quarantine and abstention; never map missingness to a negative","disposition precedence and unsupported-state abstention","accepted/quarantined/abstained evaluator matrix",G1-draft
M05-06-R06,"locked-risk:determinism","Produce byte-identical results for equivalent canonical requests","canonical request/result digests and ordered deterministic stage reduction","runtime replay equality and benchmark digest checks",G1-draft
M05-06-R07,"locked-risk:stages","Execute exactly eight ordered normalization stages across seven detector classes and eight factors","closed stage manifest, factor policy, integer ppm arithmetic, and invariant checks","genuine clear scenario and output-closure tests",G1-draft
M05-06-R08,"locked-risk:replay","Reject stale, forged, mutated, or cross-request upstream and receipt bindings","digest-bound nested replay and immutable validated snapshots","lifecycle and runtime tamper tests",G1-draft
M05-06-R09,"locked-risk:plugin","Prevent forged, copied, cross-plugin, or post-validation token use","sealed validated request registry with canonical digest binding","plugin lifecycle tests",G1-draft
M05-06-R10,"locked-interface:schemas","Export exactly 14 provisional Draft 2020-12 schemas in frozen order","closed Literal registry with provisional ABI metadata and exact `$id` prefix","schema library/API/CLI parity tests",G1-draft
M05-06-R11,"locked-interface:http","Expose strict schema GET and harmonization POST routes","typed FastAPI route, exact media handling, sanitized 422, and 403 authorization mapping","M05-06 integration interface suite",G1-draft
M05-06-R12,"locked-interface:cli","Expose schema export and atomic harmonization output through the sole console script","strict snapshot load, parse-once service execution, exclusive output creation, and stable exit codes","CLI parity and failure tests",G1-draft
M05-06-R13,"locked-risk:privacy","Keep aggregate opaque evidence only and exclude raw payload and biological authority","closed result fields, false authority flags, and limitation envelope","recursive output and manifest policy tests",G1-draft
M05-06-R14,"locked-benchmark","Warm outside timing and time exactly 25 representative public calls","perf_counter_ns samples with mean/p95 budgets, equality, size, and digest binding","evals/m05_06/benchmark.py and CI artifact",G1-draft
M05-06-R15,"manifest:data","Use synthetic non-clinical aggregate metadata only","genuine evaluator fixtures contain opaque aggregate identifiers and no raw measurements","data-manifest review and recursive canary tests",G1-draft
M05-06-R16,"manifest:review","Require owner confirmation and external review; never self-qualify","provisional ABI markers and reviewer checkpoint","draft evidence inventory and protected release review",G1-draft
M05-06-R17,"manifest:rollback","Reject/quarantine/abstain and supersede immutably on correction","new request/result path bound to prior digest; no mutation or silent promotion","rollback protocol and release evidence review",G1-draft
