module_id,authority_sha256,authority_lines,requirement,implementation,evidence,verification
GLIO-PROTEOGEN-M18-04,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6288-6328,intended-use adaptation beneath Spatial proteomics projection,M1804 contract identity operation parent ceiling and provisional ABI metadata,contract tests,pass
GLIO-PROTEOGEN-M18-04,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6288-6328,Convert biomarker panel evidence into a bounded object and policy decision,IntendedUseRegistration IntendedUseSpecificObject PolicyDecision and result envelope,contract/runtime tests,pass
GLIO-PROTEOGEN-M18-04,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6288-6328,Preserve prohibited boundaries and do not infer identity consent or treatment,blocked claim vocabulary false plugin authority flags no content traversal,negative policy tests and descriptor assertions,pass
GLIO-PROTEOGEN-M18-04,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6288-6328,Validate seven controls and preserve support provenance uncertainty evidence,control preflight provenance records seven not-estimable dimensions and evidence references,runtime/evaluator tests,pass
GLIO-PROTEOGEN-M18-04,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6288-6328,Safe abstention for unsupported audiences claims tiers and display,typed blocked findings no adapted object unsupported support and human review,adversarial matrix and evaluator,pass
GLIO-PROTEOGEN-M18-04,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6288-6328,Require review for clinical and release intended use,REVIEW_REQUIRED policy and human_review_required,clinical evaluator scenario,pass
GLIO-PROTEOGEN-M18-04,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6288-6328,Record declared architecture without claiming execution,documentation marks event-driven orchestration and alternate/fallback paths declared_not_executed,module documentation,pass
GLIO-PROTEOGEN-M18-04,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6288-6328,Provide strict versioned interfaces benchmark and safe failure,engine service plugin FastAPI Typer evaluator benchmark and verifier,focused gates and release evidence,pass
GLIO-PROTEOGEN-M18-04,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6288-6328,Bind Quality engineering owner S2 safety and G3 gate,literal owner safety and gate metadata across contract docs plugin and fixture,identity assertions,pass
GLIO-PROTEOGEN-M18-04,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6288-6328,Make results replay-safe and tamper-evident,canonical request/result digests derived result identity and replay checks,replay tests and benchmark digests,pass
GLIO-PROTEOGEN-M18-04,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6288-6328,Exercise critical cases with strict no-coercion behavior,locked eight-scenario corpus and eight-case adversarial matrix,evaluator 8/8 = 100%,pass
GLIO-PROTEOGEN-M18-04,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6288-6328,Expose strict schema API CLI plugin package and release surfaces,schemas GET/POST Typer commands descriptor wheel sdist and isolated import,interface and package evidence,pass
