requirement_id,source_anchor,requirement,contract_or_algorithm,executable_evidence,gate
M04-01-R01,"dossier:1116-1118","Own protocol and metadata specification beneath C04 Proteoform/isoform inference","literal module identity operation and closed protocol/profile contracts","corpus identity assertion and public-operation smoke",G0
M04-01-R02,"dossier:1118","Machine-validate controlled vocabulary mandatory metadata units assay/specimen versions cardinality compatibility and unresolved-state semantics","11-section strict protocol plus reviewed profile relational invariants","identity_metadata_versions strict_caps_canonical_forgery and all policy groups",G0
M04-01-R03,"dossier:1118,1124","Preserve protein-RNA discordance solely as the exact parent target","literal protein_rna_discordance context and false discordance-inference flag","parent_and_all_authority_flags_exact",G0
M04-01-R04,"dossier:1118","Do not emit downstream proteogenomic-state proteotype or protein-level subtype objects","closed result receipt handoff and recursive forbidden-output oracle","biological_canary_never_reflected and parent_and_all_authority_flags_exact",G0
M04-01-R05,"dossier:1120","Exclude KINOPHOS kinase-state ownership generic all-omics fusion and direct treatment recommendation","literal false authority flags and closed output schemas","parent_and_all_authority_flags_exact",G0
M04-01-R06,"dossier:1120","Do not mutate upstream evidence relabel another module output or erase disagreement","immutable digest-bound declarations and append-only supersession","corrected_superseding_request_succeeds plus forgery cases",G0
M04-01-R07,"dossier:1120","Do not infer missing identity or consent or convert unsupported or missing evidence into a negative finding","raw authorization preflight exact identity keys and closed unresolved semantics","missing_identity_key_rejected each_unauthorized_control_denied_zero_traversal and unresolved cases",G0
M04-01-R08,"dossier:1122","Accept only governed declarations for mass-spectrometry proteome genome/transcriptome PTM annotations and seven external controls","strict request context reference bundle policies and raw preflight","canonical maximum-profile builder and authorization_safe_failure_recovery",G0
M04-01-R09,"dossier:1124","Emit only versioned protocol schema conformance profile typed uncertainty support provenance evidence limitations and receipt","closed output and receipt contracts with exact authority ceiling","canonical conformant cases recursive privacy oracle and strict reconstruction",G0
M04-01-R10,"dossier:1126-1130,1144-1148","Record the dossier architecture options while executing only deterministic G0 schema conformance","model manifest marks PCA/ICA and multi-block PLS declared_not_executed and selects schema-first validation","manifest inspection and zero-model runtime dependency oracle",G0
M04-01-R11,"dossier:1132","Validate identity version units completeness assay support and parent-specific protocol quality and quarantine unresolved reviewed-domain inputs","exact identity/version/unit/profile checks and typed nonconformant quarantine","identity_metadata_versions plus reviewed-domain quarantine cases in groups 1-4",G0
M04-01-R12,"dossier:1134","Expose measurement sampling parameter model-form identification support and transport uncertainty only as explicit protocol declarations and limitations","closed non-calibrated uncertainty declaration and exactly three fixed limitations","canonical result authority and limitation equality assertions",G0
M04-01-R13,"dossier:1136","Require external human review for critical discrepancy novel/OOD state support override claim promotion release exception and unresolved biological conflict","typed review-required state with no self-approval or automatic override","quarantine assertions reviewer-signoff manifest inspection and recovery case",G0
