requirement_id,source_anchor,requirement,contract_or_algorithm,executable_evidence,gate
M12-05-R01,dossier:4172-4174,Own longitudinal and evolutionary model beneath Driver-to-protein consequence map,GLIO-PROTEOGEN-M12-05 provisional operation and biomarker_panel parent target,tests/contract/test_m12_05_deep.py::test_supported_trajectory_is_typed_ordered_and_replayable,G2
M12-05-R02,dossier:4174-4180,Emit only time-indexed trajectory and change-point object,TrajectoryState and ChangePoint closed output models with emits_parent=false,tests/contract/test_m12_05_deep.py::test_change_point_is_explicit_and_replayable,G1
M12-05-R03,dossier:4176-4178,Do not own kinase state all-omics fusion treatment recommendation identity or consent,provisional schema exclusion metadata and runtime limitations,tests/contract/test_m12_05_provisional.py::test_provisional_schemas_are_strict_and_temporal,G4
M12-05-R04,dossier:4178-4180,Bind mass-spectrometry genome/transcriptome PTM configuration identity provenance consent and quality as typed references,opaque ArtifactReference inputs plus seven-control preflight,tests/contract/test_m12_05_deep.py::test_control_denial_and_hostile_candidate_fail_before_materialization,G4
M12-05-R05,dossier:4182-4186,Use a Bayesian graph state-space mechanistic or foundation-assisted architecture while preserving provisional ABI,locked EvolutionModelConfiguration with model family and deterministic closed grammar,tests/contract/test_m12_05_deep.py::test_closed_objectives_produce_deterministic_labels,G1
M12-05-R06,dossier:4188-4190,Validate identity version units completeness assay support parent quality and quarantine unresolved inputs,strict request closure plus accepted seven-control matrix and safe objective support routing,tests/contract/test_m12_05_deep.py::test_unknown_or_unsupported_objective_abstains_safely,G3
M12-05-R07,dossier:4190-4192,Quantify measurement sampling parameter model-form identification support transport uncertainty and sensitivity,expected_uncertainty and UncertaintyProfile with seven dimensions,tests/contract/test_m12_05_deep.py::test_uncertainty_and_canonical_projection_are_explicit,G3
M12-05-R08,dossier:4192-4194,Require human review for critical discrepancy novel OOD state support override claim promotion release exception or conflict,review-required abstention envelope with human_review_required=true,tests/contract/test_m12_05_deep.py::test_unknown_or_unsupported_objective_abstains_safely,G4
M12-05-R09,dossier:4194-4196,Preserve temporal order block future leakage and reproduce locked trajectories,ordered sequence/timestamp contract validators and canonical replay,tests/contract/test_m12_05_deep.py::test_supported_trajectory_is_typed_ordered_and_replayable,G1
M12-05-R10,dossier:4196-4198,Provide locked tests benchmark traceability risk control manifests reviewer signoff and rollback evidence,evaluator benchmark release evidence and traceability records,tests/evals/test_m12_05.py::test_m1205_evaluator_fixture_and_matrix_are_green,G0/G1/G3/G4
M12-05-R11,dossier:4206-4212,Meet contract functional robustness uncertainty and safety tests,strict API CLI plugin plus adversarial test matrix and branch coverage verifier,tests/contract/test_m12_05_deep.py::test_service_api_success_error_and_verify_paths,G0/G1/G3/G4
