module_id,requirement,authority,implementation,evidence,verification
GLIO-PROTEOGEN-M17-02,cross-source alignment beneath C17,5840-5880,src/glio_proteogen/modules/c17_metabolomic_lipidomic_integration/m17_02_cross_source_alignment_reconciliation,docs/modules/GLIO-PROTEOGEN-M17-02.md,tests/evals/test_m17_02.py::test_m1702_evaluator_matrix_passes
GLIO-PROTEOGEN-M17-02,all seven alignment axes required,5840-5880,src/glio_proteogen/contracts/m17_02/v1.py,release-evidence/m17_02/evaluation.json,tests/contract/test_m17_02_deep.py::test_policy_requires_all_seven_alignment_axes
GLIO-PROTEOGEN-M17-02,explicit discrepancy map and conflict preservation,5840-5880,src/glio_proteogen/contracts/m17_02/v1.py;src/glio_proteogen/modules/c17_metabolomic_lipidomic_integration/m17_02_cross_source_alignment_reconciliation/engine.py,docs/evidence/M17-02.md,tests/modules/c17_metabolomic_lipidomic_integration/test_m17_02_engine.py::test_axis_disagreement_is_preserved_and_abstains_for_review
GLIO-PROTEOGEN-M17-02,sample/time/territory/analyte/modality/reference/context comparison,5840-5880,src/glio_proteogen/modules/c17_metabolomic_lipidomic_integration/m17_02_cross_source_alignment_reconciliation/engine.py,release-evidence/m17_02/evaluation.json,tests/evals/test_m17_02.py::test_m1702_evaluator_matrix_passes
GLIO-PROTEOGEN-M17-02,seven-control authorization preflight,5840-5880,src/glio_proteogen/modules/c17_metabolomic_lipidomic_integration/m17_02_cross_source_alignment_reconciliation/engine.py,release-evidence/m17_02/evaluation.json,tests/modules/c17_metabolomic_lipidomic_integration/test_m17_02_engine.py::test_preflight_and_invalid_requests_fail_closed
GLIO-PROTEOGEN-M17-02,safe abstention for unsupported/OOD/boundary inputs,5840-5880,src/glio_proteogen/modules/c17_metabolomic_lipidomic_integration/m17_02_cross_source_alignment_reconciliation/engine.py,release-evidence/m17_02/evaluation.json,tests/modules/c17_metabolomic_lipidomic_integration/test_m17_02_engine.py::test_boundary_markers_abstain_without_negative_finding
GLIO-PROTEOGEN-M17-02,seven uncertainty dimensions,5840-5880,src/glio_proteogen/modules/c17_metabolomic_lipidomic_integration/m17_02_cross_source_alignment_reconciliation/engine.py,release-evidence/m17_02/evaluation.json,tests/evals/test_m17_02.py::test_m1702_evaluator_matrix_passes
GLIO-PROTEOGEN-M17-02,complete provenance and evidence,5840-5880,src/glio_proteogen/modules/c17_metabolomic_lipidomic_integration/m17_02_cross_source_alignment_reconciliation/engine.py,docs/evidence/M17-02.md,tests/modules/c17_metabolomic_lipidomic_integration/test_m17_02_engine.py::test_supported_sources_reconcile_with_explicit_uncertainty_and_provenance
GLIO-PROTEOGEN-M17-02,canonical replay and tamper verification,5840-5880,src/glio_proteogen/contracts/m17_02/canonical.py;src/glio_proteogen/modules/c17_metabolomic_lipidomic_integration/m17_02_cross_source_alignment_reconciliation/engine.py,release-evidence/m17_02/evaluation.json,tests/modules/c17_metabolomic_lipidomic_integration/test_m17_02_engine.py::test_service_replay_and_tamper_are_deterministic
GLIO-PROTEOGEN-M17-02,strict API CLI and plugin parity,5840-5880,src/glio_proteogen/adapters/m1702.py;src/glio_proteogen/modules/c17_metabolomic_lipidomic_integration/m17_02_cross_source_alignment_reconciliation/plugin.py,docs/modules/GLIO-PROTEOGEN-M17-02.md,tests/integration/test_m1702_interfaces.py
GLIO-PROTEOGEN-M17-02,actual M17-01 ABI audited without invented service,5840-5880,src/glio_proteogen/contracts/m17_01,docs/evidence/M17-02.md,tests/contract/test_m17_01_provisional.py
GLIO-PROTEOGEN-M17-02,release evidence integrity,5840-5880,tools/verify_m1702_release.py,release-evidence/m17_02,tests/tooling/test_m1702_release.py
GLIO-PROTEOGEN-M17-02,branch-enabled scoped coverage >=95,5840-5880,tests/contract/test_m17_02_deep.py;tests/modules/c17_metabolomic_lipidomic_integration/test_m17_02_engine.py,release-evidence/m17_02/coverage.json,uv run pytest --cov-branch --cov-fail-under=95
