requirement,implementation,evidence,gate
authority,dossier SHA and exact slice pinned in provisional contracts and docs,release-evidence/m25_07/evaluation.json,G0
upstream-boundary,M25-06 media type only with no runtime import,contract request validator and dependency verifier,G0
operational-dimensions,seven human-factors and operational dimensions are required,configuration/request/report validators and evaluator,G1
target-tolerance,passing metrics must meet declared target tolerance,OperationalMetric validator plus hostile mismatch test,G1
fallback-safety,unavailable fallback cannot pass and mandatory recovery paths are covered,FallbackScenario/report validators and abstention tests,G2
safe-failure,non-passing and unsupported declarations abstain without report,engine findings plus evaluator/adversarial tests,G2
replay,request/result IDs and digests are canonical and tamper checked,engine replay and API/CLI verify tests,G2
controls,seven caller-declared controls preflight before execution,preflight runtime and denial tests,G2
uncertainty,seven explicit uncertainty dimensions and limitations,typed result envelope and evidence audit,G2
interfaces,FastAPI Typer and parse-once plugin parity,interface tests and sanitized errors,G3
release,coverage benchmark package hashes and independent verifier,release-evidence/m25_07 and verify_m2507_release.py,G4
