requirement_id,source,requirement,implementation,evidence,gate
M05-02-R01,"dossier:1520-1522","Own identity and lineage reconciliation beneath PTM localization","literal module operation plus exact M01-02 and M05-01 envelopes","public operation and schema identity tests",G0
M05-02-R02,"dossier:1522","Represent patient specimen aliquot section analyte run and derived object","embedded full M01-02 graph and seven-kind anchor-path validator","all-seven-kinds corpus case",G0
M05-02-R03,"dossier:1522","Detect swaps","declared-versus-resolved subject comparison and identity_swap quarantine","identity swap locked case",G0
M05-02-R04,"dossier:1522","Detect collisions","artifact-lineage artifact-identity and binding-scope collision findings","three collision cases plus genuine two-patient case",G0
M05-02-R05,"dossier:1522","Detect duplication without silent merge","duplicate content is retained and recorded","duplicate-content locked case",G0
M05-02-R06,"dossier:1522","Detect cross-patient links","multi-subject propagation and lineage-context quarantine","genuine two-patient M01-02 fixture",G0
M05-02-R07,"dossier:1522,1528","Emit only immutable identity resolution and lineage graph","frozen result embeds exact request and privacy-minimized graph","strict result replay and roundtrip",G0
M05-02-R08,"dossier:1522,1528","Preserve variant peptide as parent target","literal parent_target and emits_variant_peptide false","parent-context case",G0
M05-02-R09,"dossier:1522","Do not claim exclusive proteogenomic state proteotype or protein-level subtype","literal false output flags","authority flags case",G0
M05-02-R10,"dossier:1522,1524","Keep kinase activity KINOPHOS-owned and prohibit all-omics fusion and treatment advice","literal false flags schema metadata and plugin descriptor","authority and schema tests",G0
M05-02-R11,"dossier:1524","Do not mutate upstream evidence relabel outputs or erase disagreement","embedded exact upstream envelopes and false mutation flag","full replay and producer-drift cases",G0
M05-02-R12,"dossier:1524","Do not infer missing identity or consent","seven-control preflight plus literal false inference flags","each-control denial and authority tests",G0
M05-02-R13,"dossier:1524,1558","Do not convert unsupported or missing evidence to negative","typed abstention and artifact_evidence_not_evaluable finding","four evidence-state cases",G0
M05-02-R14,"dossier:1526","Consume mass-spectrometry proteome genome transcriptome and PTM annotations","five exact role-scoped opaque references including parent bundle","role and DAG validators",G0
M05-02-R15,"dossier:1526","Require approved configuration identity lineage provenance consent quality support and intended use","exact seven context controls and reviewed tuple","authorization firewall cases",G0
M05-02-R16,"dossier:1528","Expose typed uncertainty support provenance evidence and limitations","closed result envelope and exact derivation helpers","result replay cases",G0
M05-02-R17,"dossier:1530-1534,1548-1552","Record architecture options without inventing model inputs","manifest selects schema-first deterministic G0 and records other choices unexecuted","model manifest inspection",G0
M05-02-R18,"dossier:1530-1534,1550-1552","Do not execute ungoverned elastic-net or CN-to-protein models","zero model artifacts and false regression flag","dependency and claims-ceiling audit",G0
M05-02-R19,"dossier:1536","Validate identity","exact upstream replay anchor paths and subject propagation","identity and lineage group",G0
M05-02-R20,"dossier:1536","Validate version","literal v1 contract plus reviewed M05-01 result version","schema and unsupported-configuration cases",G0
M05-02-R21,"dossier:1536","Validate units","exact M05-01 configuration and assay/specimen policy receipt binding","upstream replay and configuration tuple",G0
M05-02-R22,"dossier:1536","Validate completeness","five roles one bundle one all-source derivation and seven physical kinds","DAG invariant group",G0
