module_id,requirement,evidence,verification,status
GLIO-PROTEOGEN-M20-04,caller-declared M20-03 binding,contracts/m20_04/v1.py request_is_bound,contract hardening tests,pass
GLIO-PROTEOGEN-M20-04,locked intended-use registration,contracts/m20_04/v1.py IntendedUseRegistration,contract and evaluator tests,pass
GLIO-PROTEOGEN-M20-04,claim ceiling and forbidden boundaries,contracts/m20_04/v1.py ClaimCeiling and engine.py,adversarial claim tests,pass
GLIO-PROTEOGEN-M20-04,display semantics and safe default,contracts/m20_04/v1.py DisplaySemantics and engine.py,display abstention test,pass
GLIO-PROTEOGEN-M20-04,seven-control preflight,modules/.../m20_04_intended_use_adapter/engine.py,control denial test,pass
GLIO-PROTEOGEN-M20-04,safe abstention,engine findings and SupportDecision,27 focused tests,evaluator,pass
GLIO-PROTEOGEN-M20-04,seven uncertainty dimensions,engine.py _uncertainty,uncertainty evaluator check,pass
GLIO-PROTEOGEN-M20-04,canonical replay and tamper rejection,contracts/m20_04/canonical.py and engine.py,replay adversarial tests,pass
GLIO-PROTEOGEN-M20-04,strict FastAPI/Typer interfaces,adapters/m2004.py,interface and parity tests,pass
GLIO-PROTEOGEN-M20-04,evaluator and benchmark,evals/m20_04,8/8 scenarios and 10 iterations,pass
GLIO-PROTEOGEN-M20-04,provisional authority boundary,docs/modules/M20-04-intended-use-adapter.md,owner review gate,provisional
